ID,CommentsAssociated,CommentsAssociatedLabel
19702,"/** * Returns a map with a hash for each {@link StreamNode} of the {@link StreamGraph}. The hash is * used as the {@link JobVertexID} in order to identify nodes across job submissions if they * didn't change. * * <p>The complete {@link StreamGraph} is traversed. The hash is either computed from the * transformation's user-specified id (see {@link Transformation#getUid()}) or generated in a * deterministic way. * * <p>The generated hash is deterministic with respect to: * * <ul> *   <li>node-local properties (node ID), *   <li>chained output nodes, and *   <li>input nodes hashes * </ul> * * @return A map from {@link StreamNode#id} to hash as 16-byte array. */[[SEP]]// The hash function used to generate the hash[[SEP]]// We need to make the source order deterministic. The source IDs are// not returned in the same order, which means that submitting the same// program twice might result in different traversal, which breaks the// deterministic hash assignment.[[SEP]]//// Traverse the graph in a breadth-first manner. Keep in mind that// the graph is not a tree and multiple paths to nodes can exist.//// Start with source nodes[[SEP]]// Generate the hash code. Because multiple path exist to each// node, we might not have all required inputs available to// generate the hash code.[[SEP]]// Add the child nodes[[SEP]]// We will revisit this later.",1
2247,"// TODO implement simple aggregations like: min, max, count, sum",1
3718,"/** * Example usage: ((BlendingAttribute)material.get(BlendingAttribute.ID)).sourceFunction; * @return The attribute if any, otherwise null */",0
4899,/*     * @deprecated     */,1
194,/** * Reads the given InputStream as a zip file and extracts it into this directory. * * @param _in *      The stream will be closed by this method after it's fully read. * @since 1.283 * @see #unzip(FilePath) */,0
655,/** * Writes a sequence of bytes from defined buffer. * * @param  buf buffer object from which bytes are transferred * @return amount of written bytes */,0
4706,// todo optimize me,1
350,/** * Sets parser config. * * @param config the config * @return the parser config * @see FastJsonConfig#setParserConfig(ParserConfig) * @deprecated */,1
22124,"/** * This refreshes the memory requirement for every ML job that has a corresponding * persistent task and, in addition, one job that doesn't have a persistent task. * This method only works on the master node. * @param jobId The job ID of the job whose memory requirement is to be refreshed *              despite not having a corresponding persistent task. * @param listener Receives the memory requirement of the job specified by {@code jobId}, *                 or <code>null</code> if it cannot be calculated. */[[SEP]]// Skip the provided job ID in the main refresh, as we unconditionally do it at the end.// Otherwise it might get refreshed twice, because it could have both a job task and a snapshot upgrade task.",0
839,// checking for existing version of the plugin[[SEP]]// don't let user install plugin conflicting with module...// they might be unavoidably in maven central and are packaged up the same way),0
19714,/** * @return The current execution thread pool queue size */,0
24343,// BEGIN FLINK MODIFICATION// Reason: this method is changed to deduce return type on timestamp with local time zone// correctly// Whole class should be removed after CALCITE-4698 is fixed,1
6098,"// TODO: uncomment when https://github.com/facebook/presto/issues/4571 is fixed// assertNumericOverflow(format(""%s * -1"", Long.MAX_VALUE), ""bigint multiplication overflow: 9223372036854775807 * -1"");",1
4727,// TODO: Sparse tracks (e.g. ESMG) may prevent discarding in almost all cases because it// means that most chunks have been read from already. See [internal b/161126666].,1
4941,/** * Returns the information which should be presented when a hover popup is shown for the specified hover region. The * hover region has the same semantics as the region returned by <code>getHoverRegion</code>. If the returned * information is <code>null</code> or empty no hover popup will be shown. * * @deprecated * @param textViewer  the viewer on which the hover popup should be shown * @param hoverRegion the text range in the viewer which is used to determine the hover display information * @return the hover popup display information */,1
9860,// Work around https://github.com/google/ExoPlayer/issues/3160.,1
23480,// --------------------------------------------------------------------------------------------// Default implementations for legacy {@link TableFactory} stack.// --------------------------------------------------------------------------------------------[[SEP]]/** * @deprecated Implement the {@link Factory} based stack instead. */[[SEP]]// Default implementation for modules implementing the new {@link Factory} stack instead.,1
19160,"/** * Sets an user provided hash for this operator. This will be used AS IS the create the * JobVertexID. * * <p>The user provided hash is an alternative to the generated hashes, that is considered when * identifying an operator through the default hash mechanics fails (e.g. because of changes * between Flink versions). * * <p><strong>Important</strong>: this should be used as a workaround or for trouble shooting. * The provided hash needs to be unique per transformation and job. Otherwise, job submission * will fail. Furthermore, you cannot assign user-specified hash to intermediate nodes in an * operator chain and trying so will let your job fail. * * <p>A use case for this is in migration between Flink versions or changing the jobs in a way * that changes the automatically generated hashes. In this case, providing the previous hashes * directly through this method (e.g. obtained from old logs) can help to reestablish a lost * mapping from states to their target operator. * * @param uidHash The user provided hash for this operator. This will become the JobVertexID, *     which is shown in the logs and web ui. * @return The operator with the user provided hash. */",1
23216,"// Note: in case of unsigned_long overflow (or underflow, with negative fixed point numbers), the exception is thrown.// This is unlike the way some other traditional RDBMS that support unsigned types work, which simply promote the result to a// floating point type, but in line with how our implementation treats other fixed point type operations (i.e. Math#xxExact()).",0
3502,"// FIXME nulls not allowed, changed to ""c""",1
3333,// TODO(b/181122234): DecoderCounters are not re-reported at period boundaries.,1
24494,// not defined - ie. it's not a local address,0
3004,// The performance of one copy and two copies (one big chunk at 8 bytes boundary + rest) are about the same.,0
1388,// $NON-NLS-1$ //$NON-NLS-2$,0
1612,// TODO: Refactor code to inject metastore headers using AccessControlContext instead of empty(),1
7890,"// TODO: Use ConnectorPartitionHandle (instead of int) to represent individual buckets.// Currently, it's mixed. listPartitionHandles used CPartitionHandle whereas the other functions used int.[[SEP]]/** * Returns a list of all partitions associated with the provided {@code partitioningHandle}. * <p> * This method must be implemented for connectors that support addressable split discovery. * The partitions return here will be used as address for the purpose of split discovery. */",1
656,"/** * Encode ""-TSCH-"" as X (""ch"") * * @return true if encoding handled in this routine, false if not */[[SEP]]// 'deutsch'[[SEP]]// combining forms in german where the 'T' is pronounced seperately[[SEP]]// pronounced the same as ""ch"" in ""chit"" => X",0
4838,/** * Returns the default settings for the cluster (only if {@code include_defaults} was set to true in the request) * @return Settings */,0
2432,// do not synchronize// this is used for query info building which should be independent of scheduling work,1
3872,/** * Sets the second input to the union of the given operators. * * @param inputs The operator(s) that form the second inputs. * @deprecated This method will be removed in future versions. Use the {@link Union} operator *     instead. */,1
1355,// TODO: do we need to get to child?[[SEP]]// 2. Get Hive Aggregate Info[[SEP]]// 3. Get Calcite Return type for Agg Fn[[SEP]]// 4. Convert Agg Fn args to Calcite[[SEP]]// 5. Get Calcite Agg Fn[[SEP]]// 6. Translate Window spec,1
21847,"/** * Performs a selection operation on a FlatAggregateTable. Similar to a SQL SELECT statement. * The field expressions can contain complex expressions. * * <p><b>Note</b>: You have to close the flatAggregate with a select statement. And the select * statement does not support aggregate functions. * * <p>Example: * * <pre>{@code * TableAggregateFunction tableAggFunc = new MyTableAggregateFunction(); * tableEnv.registerFunction(""tableAggFunc"", tableAggFunc); * tab.groupBy(""key"") *   .flatAggregate(""tableAggFunc(a, b) as (x, y, z)"") *   .select(""key, x, y, z"") * }</pre> * * @deprecated use {@link #select(Expression...)} */",1
4688,// TODO: this should not be callable from SQL,1
14479,"/** * Returns a {@link Stream} containing the elements of the first stream, followed by the elements * of the second stream, and so on. * * <p>This is equivalent to {@code Stream.of(streams).flatMap(stream -> stream)}, but the returned * stream may perform better. * * @see Stream#concat(Stream, Stream) */[[SEP]]// TODO(lowasser): consider an implementation that can support SUBSIZED",1
7780,// X[[SEP]]// Y[[SEP]]// Z,0
25232,// TODO: is the javadoc accurate,1
13445,/** * Adds each element of {@code elements} to the {@code ImmutableSortedMultiset}. * * @param elements the {@code Iterable} to add to the {@code ImmutableSortedMultiset} * @return this {@code Builder} object * @throws NullPointerException if {@code elements} is null or contains a null element */,0
1956,// For some reason image writers aren't registered in Batik registry automatically// Probably because of cut dependencies (which are fucking huge for Batic codec),1
111,"/** * If this archive is a jar file it will return the path to the jar file on the file system, * otherwise it will return the directory that this corresponds to. * * @deprecated in favor of {@link #getResolvedPaths()} */",1
79,/** * Creates the classloader that can load all the specified jar files and delegate to the given parent. */,0
11457,// JDK bug workaround// https://github.com/quarkusio/quarkus/issues/14424// force class init to prevent possible deadlock when done by mongo threads[[SEP]]// every so often mongo fails to start on CI runs// see if this helps,1
15161,// maybe we should notify here?[[SEP]]// Additional update task to make sure all previous logging made it to the loggerName// We don't check logging for this on since there is no guarantee that it will occur before our check,0
23727,// Relocate the searchable snapshot shard to the new node,0
1291,// SQL Server: All extra characters can be used in unquoted form,0
2893,"/** * Atomically find a document and remove it. * * @param filter the query filter to find the document with * @return a {@link Uni} completed with the document that was removed. If no documents matched the query filter, *         then the uni is completed with {@code null}. */",0
147,"// TODO: fail if pattern contains a newline, it won't work (currently)",1
2397,"// valid, but interpreted as double, cannot make float columns[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// discarded bad type symbol[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid[[SEP]]// valid null[[SEP]]// valid null[[SEP]]// discarded bad type symbol[[SEP]]// discarded bad type timestamp[[SEP]]// valid, true casts down to 1.0[[SEP]]// valid, true casts down to 0.0",0
5680,"/** * The source of the document to index, recopied to a new array if it is unsafe. */",0
14006,// check if one side is already empty// this check could be omitted if we put this in MatchTask.// then we can derive the local strategy (with build side).[[SEP]]// both sides contain more than one value// TODO: Decide which side to spill and which to block![[SEP]]// both sides contain only one value,1
11716,"/** * Searches for the in progress checkpoint with the given ID and replaces it with the given * completed or failed checkpoint. * * <p>This is bounded by the maximum number of concurrent in progress checkpointsArray, which * means that the runtime of this is constant. * * @param completedOrFailed The completed or failed checkpoint to replace the in progress *     checkpoint with. * @return <code>true</code> if the checkpoint was replaced or <code>false</code> otherwise. */[[SEP]]// Update the latest checkpoint stats[[SEP]]// We start searching from the last inserted position. Since the entries// wrap around the array we search until we are at index 0 and then from// the end of the array until (start pos + 1).",0
3350,"/** * Find entities matching a query and the given sort options, with named parameters. * This method is a shortcut for <code>find(query, sort, params).stream()</code>. * It requires a transaction to work. * Without a transaction, the underlying cursor can be closed before the end of the stream. * * @param query a {@link io.quarkus.hibernate.orm.panache query string} * @param sort the sort strategy to use * @param params {@link Map} of indexed parameters * @return a {@link Stream} containing all results, without paging * @see #stream(String, Map) * @see #stream(String, Sort, Object...) * @see #stream(String, Sort, Parameters) * @see #find(String, Sort, Map) * @see #list(String, Sort, Map) */",1
3536,// TODO: just load this once,1
4984,// TODO: remove this after PR #7987 is landed[[SEP]]// add three items[[SEP]]// add a queue[[SEP]]// get the three elements[[SEP]]// acknowledge pages 0 and 1[[SEP]]// only page 2 is not removed[[SEP]]// acknowledge page 2[[SEP]]// nothing left[[SEP]]// acknowledge more pages will fail[[SEP]]// fill the buffer[[SEP]]// getting new pages will again acknowledge the previously acknowledged pages but this is ok,1
2115,/** * Visit a parse tree produced by the {@code expr} * labeled alternative in {@link PainlessParser#dstatement}. * @param ctx the parse tree * @return the visitor result */,0
13982,"// Either both are null or neither is, but we check both to satisfy the nullness checker.[[SEP]]// we must have set lastFromForgetMeNot in next()",0
12124,"// TODO(cpovirk): maybe make this look like the method call does (""Predicates.compose(...)"")",1
