ID,FilePath,ClassName,MethodName,Content,CommentFor,CommentsIn,CommentsAssociated,StartLine,EndLine,eachLabelCommentFor,CommentForLabel,eachLabelCommentsIn,CommentsInLabel,eachLabelCommentsAssociated,CommentsAssociatedLabel,PseudoLabelForCASFromMAT,PseudoLabelForCASFromGGSATD,PseudoLabelForCASFromXGBoost,MethodSimplified,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java,org.antlr.mojo.antlr4.Antlr4ErrorLog,void info(String),"/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message The message to send to Maven
 */
@Override
public void info(String message) {
    if (tool.errMgr.formatWantsSingleLineMessage()) {
        message = message.replace('\n', ' ');
    }
    log.info(message);
}","/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message The message to send to Maven
 */
", ,/** * {@inheritDoc} * <p> * This implementation passes the message to the Maven log. * </p> * @param message The message to send to Maven */,47,53,[0],0,[0],0,[0],0,0,0,0,info(String),org.antlr.mojo.antlr4.Antlr4ErrorLog,info/1[java.lang.String],False,48,0,0,0,0,2,3,6,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,1,1,True
1,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java,org.antlr.mojo.antlr4.Antlr4ErrorLog,void error(ANTLRMessage),"/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message The message to send to Maven.
 */
@Override
public void error(ANTLRMessage message) {
    ST msgST = tool.errMgr.getMessageTemplate(message);
    String outputMsg = msgST.render();
    if (tool.errMgr.formatWantsSingleLineMessage()) {
        outputMsg = outputMsg.replace('\n', ' ');
    }
    log.error(outputMsg);
    if (message.fileName != null) {
        String text = message.getMessageTemplate(false).render();
        buildContext.addMessage(new File(message.fileName), message.line, message.charPosition, text, BuildContext.SEVERITY_ERROR, message.getCause());
    }
}","/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message The message to send to Maven.
 */
", ,/** * {@inheritDoc} * <p> * This implementation passes the message to the Maven log. * </p> * @param message The message to send to Maven. */,62,76,[0],0,[0],0,[0],0,0,0,0,error(ANTLRMessage),org.antlr.mojo.antlr4.Antlr4ErrorLog,error/1[org.antlr.mojo.antlr4.ANTLRMessage],False,63,2,0,0,0,3,7,12,0,3,1,7,0,0,0,1,0,0,0,0,4,0,1,0,0,0,25,1,1,True
2,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java,org.antlr.mojo.antlr4.Antlr4ErrorLog,void warning(ANTLRMessage),"/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message
 */
@Override
public void warning(ANTLRMessage message) {
    ST msgST = tool.errMgr.getMessageTemplate(message);
    String outputMsg = msgST.render();
    if (tool.errMgr.formatWantsSingleLineMessage()) {
        outputMsg = outputMsg.replace('\n', ' ');
    }
    log.warn(outputMsg);
    if (message.fileName != null) {
        String text = message.getMessageTemplate(false).render();
        buildContext.addMessage(new File(message.fileName), message.line, message.charPosition, text, BuildContext.SEVERITY_WARNING, message.getCause());
    }
}","/**
 * {@inheritDoc}
 * <p>
 * This implementation passes the message to the Maven log.
 * </p>
 * @param message
 */
", ,/** * {@inheritDoc} * <p> * This implementation passes the message to the Maven log. * </p> * @param message */,85,99,[0],0,[0],0,[0],0,0,0,0,warning(ANTLRMessage),org.antlr.mojo.antlr4.Antlr4ErrorLog,warning/1[org.antlr.mojo.antlr4.ANTLRMessage],False,86,2,0,0,0,3,7,12,0,3,1,7,0,0,0,1,0,0,0,0,4,0,1,0,0,0,23,1,1,True
3,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,void execute(),"/**
 * The main entry point for this Mojo, it is responsible for converting
 * ANTLR 4.x grammars into the target language specified by the grammar.
 *
 * @exception MojoExecutionException if a configuration or grammar error causes
 * the code generation process to fail
 * @exception MojoFailureException if an instance of the ANTLR 4 {@link Tool}
 * cannot be created
 */
@Override
public void execute() throws MojoExecutionException, MojoFailureException {
    Log log = getLog();
    outputEncoding = validateEncoding(outputEncoding);
    if (log.isDebugEnabled()) {
        for (String e : excludes) {
            log.debug(""ANTLR: Exclude: "" + e);
        }
        for (String e : includes) {
            log.debug(""ANTLR: Include: "" + e);
        }
        log.debug(""ANTLR: Output: "" + outputDirectory);
        log.debug(""ANTLR: Library: "" + libDirectory);
    }
    if (!sourceDirectory.isDirectory()) {
        log.info(""No ANTLR 4 grammars to compile in "" + sourceDirectory.getAbsolutePath());
        return;
    }
    // Ensure that the output directory path is all in tact so that
    // ANTLR can just write into it.
    // 
    File outputDir = getOutputDirectory();
    if (!outputDir.exists()) {
        outputDir.mkdirs();
    }
    GrammarDependencies dependencies = new GrammarDependencies(sourceDirectory, libDirectory, arguments, getDependenciesStatusFile(), getLog());
    // Now pick up all the files and process them with the Tool
    // 
    List<List<String>> argumentSets;
    Set<File> grammarFiles;
    Set<File> importGrammarFiles;
    try {
        List<String> args = getCommandArguments();
        grammarFiles = getGrammarFiles(sourceDirectory);
        importGrammarFiles = getImportFiles(sourceDirectory);
        argumentSets = processGrammarFiles(args, grammarFiles, dependencies, sourceDirectory);
    } catch (Exception e) {
        log.error(e);
        throw new MojoExecutionException(""Fatal error occured while evaluating the names of the grammar files to analyze"", e);
    }
    log.debug(""Output directory base will be "" + outputDirectory.getAbsolutePath());
    log.info(""ANTLR 4: Processing source directory "" + sourceDirectory.getAbsolutePath());
    for (List<String> args : argumentSets) {
        try {
            // Create an instance of the ANTLR 4 build tool
            tool = new CustomTool(args.toArray(new String[0]));
        } catch (Exception e) {
            log.error(""The attempt to create the ANTLR 4 build tool failed, see exception report for details"", e);
            throw new MojoFailureException(""Error creating an instanceof the ANTLR tool."", e);
        }
        try {
            dependencies.analyze(grammarFiles, importGrammarFiles, tool);
        } catch (Exception e) {
            log.error(""Dependency analysis failed, see exception report for details"", e);
            throw new MojoFailureException(""Dependency analysis failed."", e);
        }
        // Set working directory for ANTLR to be the base source directory
        tool.inputDirectory = sourceDirectory;
        tool.processGrammarsOnCommandLine();
        // If any of the grammar files caused errors but did nto throw exceptions
        // then we should have accumulated errors in the counts
        if (tool.getNumErrors() > 0) {
            throw new MojoExecutionException(""ANTLR 4 caught "" + tool.getNumErrors() + "" build errors."");
        }
    }
    if (project != null) {
        // Tell Maven that there are some new source files underneath the output directory.
        addSourceRoot(this.getOutputDirectory());
    }
    try {
        dependencies.save();
    } catch (IOException ex) {
        log.warn(""Could not save grammar dependency status"", ex);
    }
}","/**
 * The main entry point for this Mojo, it is responsible for converting
 * ANTLR 4.x grammars into the target language specified by the grammar.
 *
 * @exception MojoExecutionException if a configuration or grammar error causes
 * the code generation process to fail
 * @exception MojoFailureException if an instance of the ANTLR 4 {@link Tool}
 * cannot be created
 */
","// Ensure that the output directory path is all in tact so that
[[SEP]]// ANTLR can just write into it.
[[SEP]]// Now pick up all the files and process them with the Tool
[[SEP]]// 
[[SEP]]// 
[[SEP]]// If any of the grammar files caused errors but did nto throw exceptions
[[SEP]]// Create an instance of the ANTLR 4 build tool
[[SEP]]// Set working directory for ANTLR to be the base source directory
[[SEP]]// then we should have accumulated errors in the counts
[[SEP]]// Tell Maven that there are some new source files underneath the output directory.
","/** * The main entry point for this Mojo, it is responsible for converting * ANTLR 4.x grammars into the target language specified by the grammar. * * @exception MojoExecutionException if a configuration or grammar error causes * the code generation process to fail * @exception MojoFailureException if an instance of the ANTLR 4 {@link Tool} * cannot be created */[[SEP]]// Ensure that the output directory path is all in tact so that// ANTLR can just write into it.//[[SEP]]// Now pick up all the files and process them with the Tool//[[SEP]]// Create an instance of the ANTLR 4 build tool[[SEP]]// Set working directory for ANTLR to be the base source directory[[SEP]]// If any of the grammar files caused errors but did nto throw exceptions// then we should have accumulated errors in the counts[[SEP]]// Tell Maven that there are some new source files underneath the output directory.",222,315,[0],0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0]",0,0,0,0,execute(),org.antlr.mojo.antlr4.Antlr4Mojo,execute/0,False,223,6,12,0,12,13,23,68,1,7,0,23,8,4,3,1,4,0,15,2,10,8,2,0,0,0,101,1,11,True
4,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,List<String> getCommandArguments(),"private List<String> getCommandArguments() {
    List<String> args = new ArrayList<String>();
    if (getOutputDirectory() != null) {
        args.add(""-o"");
        args.add(outputDirectory.getAbsolutePath());
    }
    // Where do we want ANTLR to look for .tokens and import grammars?
    if (getLibDirectory() != null && getLibDirectory().isDirectory()) {
        args.add(""-lib"");
        args.add(libDirectory.getAbsolutePath());
    }
    // Next we need to set the options given to us in the pom into the
    // tool instance we have created.
    if (atn) {
        args.add(""-atn"");
    }
    if (inputEncoding != null && !inputEncoding.isEmpty()) {
        args.add(""-encoding"");
        outputEncoding = inputEncoding;
        args.add(inputEncoding);
    }
    if (listener) {
        args.add(""-listener"");
    } else {
        args.add(""-no-listener"");
    }
    if (visitor) {
        args.add(""-visitor"");
    } else {
        args.add(""-no-visitor"");
    }
    if (treatWarningsAsErrors) {
        args.add(""-Werror"");
    }
    if (forceATN) {
        args.add(""-Xforce-atn"");
    }
    if (options != null) {
        for (Map.Entry<String, String> option : options.entrySet()) {
            args.add(String.format(""-D%s=%s"", option.getKey(), option.getValue()));
        }
    }
    if (arguments != null) {
        args.addAll(arguments);
    }
    return args;
}", ,"// Next we need to set the options given to us in the pom into the
[[SEP]]// Where do we want ANTLR to look for .tokens and import grammars?
[[SEP]]// tool instance we have created.
",// Where do we want ANTLR to look for .tokens and import grammars?[[SEP]]// Next we need to set the options given to us in the pom into the// tool instance we have created.,317,376,[0],0,"[0, 0, 0]",0,"[0, 0]",0,0,0,0,getCommandArguments(),org.antlr.mojo.antlr4.Antlr4Mojo,getCommandArguments/0,False,317,1,3,1,2,14,11,46,1,1,0,11,2,1,1,5,0,0,11,0,2,0,2,0,0,0,27,2,0,False
5,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,"List<List<String>> processGrammarFiles(List<String>, Set<File>, GrammarDependencies, File)","/**
 * @param sourceDirectory
 * @exception InclusionScanException
 */
private List<List<String>> processGrammarFiles(List<String> args, Set<File> grammarFiles, GrammarDependencies dependencies, File sourceDirectory) throws InclusionScanException, IOException {
    // We don't want the plugin to run for every grammar, regardless of whether
    // it's changed since the last compilation. Check the mtime of the tokens vs
    // the grammar file mtime to determine whether we even need to execute.
    Set<File> grammarFilesToProcess = new HashSet<File>();
    for (File grammarFile : grammarFiles) {
        String tokensFileName = grammarFile.getName().split(""\\."")[0] + "".tokens"";
        File outputFile = new File(outputDirectory, tokensFileName);
        if ((!outputFile.exists()) || outputFile.lastModified() <= grammarFile.lastModified() || dependencies.isDependencyChanged(grammarFile)) {
            grammarFilesToProcess.add(grammarFile);
        }
    }
    grammarFiles = grammarFilesToProcess;
    if (grammarFiles.isEmpty()) {
        getLog().info(""No grammars to process"");
        return Collections.emptyList();
    }
    MultiMap<String, File> grammarFileByFolder = new MultiMap<String, File>();
    // Iterate each grammar file we were given and add it into the tool's list of
    // grammars to process.
    for (File grammarFile : grammarFiles) {
        buildContext.refresh(grammarFile);
        buildContext.removeMessages(grammarFile);
        getLog().debug(""Grammar file '"" + grammarFile.getPath() + ""' detected."");
        String relPathBase = MojoUtils.findSourceSubdir(sourceDirectory, grammarFile);
        String relPath = relPathBase + grammarFile.getName();
        getLog().debug(""  ... relative path is: "" + relPath);
        grammarFileByFolder.map(relPathBase, grammarFile);
    }
    List<List<String>> result = new ArrayList<List<String>>();
    for (Map.Entry<String, List<File>> entry : grammarFileByFolder.entrySet()) {
        List<String> folderArgs = new ArrayList<String>(args);
        if (!folderArgs.contains(""-package"") && !entry.getKey().isEmpty()) {
            folderArgs.add(""-package"");
            folderArgs.add(getPackageName(entry.getKey()));
        }
        for (File file : entry.getValue()) {
            folderArgs.add(entry.getKey() + file.getName());
        }
        result.add(folderArgs);
    }
    return result;
}","/**
 * @param sourceDirectory
 * @exception InclusionScanException
 */
","// We don't want the plugin to run for every grammar, regardless of whether
[[SEP]]// it's changed since the last compilation. Check the mtime of the tokens vs
[[SEP]]// Iterate each grammar file we were given and add it into the tool's list of
[[SEP]]// the grammar file mtime to determine whether we even need to execute.
[[SEP]]// grammars to process.
","/** * @param sourceDirectory * @exception InclusionScanException */[[SEP]]// We don't want the plugin to run for every grammar, regardless of whether// it's changed since the last compilation. Check the mtime of the tokens vs// the grammar file mtime to determine whether we even need to execute.[[SEP]]// Iterate each grammar file we were given and add it into the tool's list of// grammars to process.",383,443,[0],0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0]",0,0,0,0,"processGrammarFiles(List<String>, Set<File>, GrammarDependencies, File)",org.antlr.mojo.antlr4.Antlr4Mojo,"processGrammarFiles/4[java.util.List<java.lang.String>,java.util.Set<java.io.File>,org.antlr.mojo.antlr4.GrammarDependencies,java.io.File]",False,387,4,6,1,5,11,24,38,2,8,4,24,1,1,4,0,0,1,8,1,9,5,2,0,0,0,35,2,3,True
6,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,Set<File> getGrammarFiles(File),"private Set<File> getGrammarFiles(File sourceDirectory) throws InclusionScanException {
    // Which files under the source set should we be looking for as grammar files
    SourceMapping mapping = new SuffixMapping(""g4"", Collections.<String>emptySet());
    // What are the sets of includes (defaulted or otherwise).
    Set<String> includes = getIncludesPatterns();
    // Now, to the excludes, we need to add the imports directory
    // as this is autoscanned for imported grammars and so is auto-excluded from the
    // set of grammar fields we should be analyzing.
    excludes.add(""imports/**"");
    SourceInclusionScanner scan = new SimpleSourceInclusionScanner(includes, excludes);
    scan.addSourceMapping(mapping);
    return scan.getIncludedSources(sourceDirectory, null);
}", ,"// Now, to the excludes, we need to add the imports directory
[[SEP]]// as this is autoscanned for imported grammars and so is auto-excluded from the
[[SEP]]// Which files under the source set should we be looking for as grammar files
[[SEP]]// What are the sets of includes (defaulted or otherwise).
[[SEP]]// set of grammar fields we should be analyzing.
","// Which files under the source set should we be looking for as grammar files[[SEP]]// What are the sets of includes (defaulted or otherwise).[[SEP]]// Now, to the excludes, we need to add the imports directory// as this is autoscanned for imported grammars and so is auto-excluded from the// set of grammar fields we should be analyzing.",459,476,[0],0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0]",0,0,0,0,getGrammarFiles(File),org.antlr.mojo.antlr4.Antlr4Mojo,getGrammarFiles/1[java.io.File],False,460,5,2,1,1,1,5,8,1,3,1,5,1,1,0,0,0,0,2,0,3,0,0,0,0,0,21,2,0,False
7,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,String getPackageName(String),"private static String getPackageName(String relativeFolderPath) {
    if (relativeFolderPath.contains("".."")) {
        throw new UnsupportedOperationException(""Cannot handle relative paths containing '..'"");
    }
    List<String> parts = new ArrayList<String>(Arrays.asList(relativeFolderPath.split(""[/\\\\\\.]+"")));
    while (parts.remove("""")) {
        // intentionally blank
    }
    return Utils.join(parts.iterator(), ""."");
}", ,"// intentionally blank
",// intentionally blank,478,489,[0],0,[0],0,[0],0,0,0,0,getPackageName(String),org.antlr.mojo.antlr4.Antlr4Mojo,getPackageName/1[java.lang.String],False,478,1,2,1,1,3,6,9,1,1,1,6,0,0,1,0,0,0,5,0,1,0,1,0,0,0,13,10,0,False
8,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo,String validateEncoding(String),"/**
 * Validates the given encoding.
 *
 * @return  the validated encoding. If {@code null} was provided, returns the platform default encoding.
 */
private String validateEncoding(String encoding) {
    return (encoding == null) ? Charset.defaultCharset().name() : Charset.forName(encoding.trim()).name();
}","/**
 * Validates the given encoding.
 *
 * @return  the validated encoding. If {@code null} was provided, returns the platform default encoding.
 */
", ,"/** * Validates the given encoding. * * @return  the validated encoding. If {@code null} was provided, returns the platform default encoding. */",561,563,[0],0,[0],0,[0],0,0,0,0,validateEncoding(String),org.antlr.mojo.antlr4.Antlr4Mojo,validateEncoding/1[java.lang.String],False,561,0,1,1,0,2,4,3,1,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,2,0,True
9,..\projects\antlr4-4.11.0\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,org.antlr.mojo.antlr4.Antlr4Mojo.CustomTool,"Writer getOutputFileWriter(Grammar, String)","@Override
public Writer getOutputFileWriter(Grammar g, String fileName) throws IOException {
    if (outputDirectory == null) {
        return new StringWriter();
    }
    // output directory is a function of where the grammar file lives
    // for subdir/T.g4, you get subdir here.  Well, depends on -o etc...
    // But, if this is a .tokens file, then we force the output to
    // be the base output directory (or current directory if there is not a -o)
    // 
    File outputDir;
    if (fileName.endsWith(CodeGenerator.VOCAB_FILE_EXTENSION)) {
        outputDir = new File(outputDirectory);
    } else {
        outputDir = getOutputDirectory(g.fileName);
    }
    File outputFile = new File(outputDir, fileName);
    if (!outputDir.exists()) {
        outputDir.mkdirs();
    }
    URI relativePath = project.getBasedir().toURI().relativize(outputFile.toURI());
    getLog().debug(""  Writing file: "" + relativePath);
    OutputStream outputStream = buildContext.newFileOutputStream(outputFile);
    if (outputEncoding != null && !outputEncoding.isEmpty()) {
        return new BufferedWriter(new OutputStreamWriter(outputStream, outputEncoding));
    } else {
        return new BufferedWriter(new OutputStreamWriter(outputStream));
    }
}", ,"// output directory is a function of where the grammar file lives
[[SEP]]// for subdir/T.g4, you get subdir here.  Well, depends on -o etc...
[[SEP]]// But, if this is a .tokens file, then we force the output to
[[SEP]]// be the base output directory (or current directory if there is not a -o)
[[SEP]]// 
","// output directory is a function of where the grammar file lives// for subdir/T.g4, you get subdir here.  Well, depends on -o etc...// But, if this is a .tokens file, then we force the output to// be the base output directory (or current directory if there is not a -o)//",521,553,[0],0,"[0, 0, 0, 0, 0]",0,[0],0,0,0,0,"getOutputFileWriter(Grammar, String)",org.antlr.mojo.antlr4.Antlr4Mojo$CustomTool,"getOutputFileWriter/2[org.antlr.mojo.antlr4.Grammar,java.lang.String]",False,522,2,1,0,1,6,12,25,3,4,2,12,0,0,0,2,0,0,1,0,5,1,1,0,0,0,24,1,1,False
