ID,FilePath,ClassName,MethodName,Content,CommentFor,CommentsIn,CommentsAssociated,StartLine,EndLine,eachLabelCommentFor,CommentForLabel,eachLabelCommentsIn,CommentsInLabel,eachLabelCommentsAssociated,CommentsAssociatedLabel,PseudoLabelForCASFromMAT,PseudoLabelForCASFromGGSATD,PseudoLabelForCASFromXGBoost,MethodSimplified,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,void setDefaultTypeKey(String),"/**
 * config default type key
 * @since 1.2.14
 */
public static void setDefaultTypeKey(String typeKey) {
    DEFAULT_TYPE_KEY = typeKey;
    ParserConfig.global.symbolTable.addSymbol(typeKey, 0, typeKey.length(), typeKey.hashCode(), true);
}","/**
 * config default type key
 * @since 1.2.14
 */
", ,/** * config default type key * @since 1.2.14 */,138,144,[0],0,[0],0,[0],0,0,0,0,setDefaultTypeKey(String),com.alibaba.fastjson.JSON,setDefaultTypeKey/1[java.lang.String],False,138,1,1,0,1,1,3,4,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,9,0,True
1,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"Object parse(String, ParserConfig)","/**
 * @since 1.2.38
 */
public static Object parse(String text, ParserConfig config) {
    return parse(text, config, DEFAULT_PARSER_FEATURE);
}","/**
 * @since 1.2.38
 */
", ,/** * @since 1.2.38 */,154,156,[0],0,[0],0,[0],0,0,0,0,"parse(String, ParserConfig)",com.alibaba.fastjson.JSON,"parse/2[java.lang.String,com.alibaba.fastjson.parser.ParserConfig]",False,154,2,2,1,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,True
2,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"Object parse(String, ParserConfig, Feature...)","/**
 * @since 1.2.68
 */
public static Object parse(String text, ParserConfig config, Feature... features) {
    int featureValues = DEFAULT_PARSER_FEATURE;
    for (Feature feature : features) {
        featureValues = Feature.config(featureValues, feature, true);
    }
    return parse(text, config, featureValues);
}","/**
 * @since 1.2.68
 */
", ,/** * @since 1.2.68 */,162,169,[0],0,[0],0,[0],0,0,0,0,"parse(String, ParserConfig, Feature[])",com.alibaba.fastjson.JSON,"parse/3[java.lang.String,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.Feature[]]",False,162,3,2,0,2,2,2,7,1,1,3,2,1,1,1,0,0,0,0,0,2,0,1,0,0,0,17,9,0,True
3,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"Object parse(String, ParserConfig, int)","/**
 * @since 1.2.38
 */
public static Object parse(String text, ParserConfig config, int features) {
    if (text == null) {
        return null;
    }
    DefaultJSONParser parser = new DefaultJSONParser(text, config, features);
    Object value = parser.parse();
    parser.handleResovleTask(value);
    parser.close();
    return value;
}","/**
 * @since 1.2.38
 */
", ,/** * @since 1.2.38 */,175,188,[0],0,[0],0,[0],0,0,0,0,"parse(String, ParserConfig, int)",com.alibaba.fastjson.JSON,"parse/3[java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int]",False,175,2,7,3,4,2,3,10,2,2,3,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,13,9,0,True
4,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(String, TypeReference<T>, Feature...)","/**
 * <pre>
 * String jsonStr = ""[{\""id\"":1001,\""name\"":\""Jobs\""}]"";
 * List&lt;Model&gt; models = JSON.parseObject(jsonStr, new TypeReference&lt;List&lt;Model&gt;&gt;() {});
 * </pre>
 * @param text json string
 * @param type type refernce
 * @param features parser features
 * @return an object of type T from the string
 */
@SuppressWarnings(""unchecked"")
public static <T> T parseObject(String text, TypeReference<T> type, Feature... features) {
    return (T) parseObject(text, type.type, ParserConfig.global, DEFAULT_PARSER_FEATURE, features);
}","/**
 * <pre>
 * String jsonStr = ""[{\""id\"":1001,\""name\"":\""Jobs\""}]"";
 * List&lt;Model&gt; models = JSON.parseObject(jsonStr, new TypeReference&lt;List&lt;Model&gt;&gt;() {});
 * </pre>
 * @param text json string
 * @param type type refernce
 * @param features parser features
 * @return an object of type T from the string
 */
", ,"/** * <pre> * String jsonStr = ""[{\""id\"":1001,\""name\"":\""Jobs\""}]""; * List&lt;Model&gt; models = JSON.parseObject(jsonStr, new TypeReference&lt;List&lt;Model&gt;&gt;() {}); * </pre> * @param text json string * @param type type refernce * @param features parser features * @return an object of type T from the string */",274,277,[0],0,[0],0,[0],0,0,0,0,"parseObject(String, TypeReference<T>, Feature[])",com.alibaba.fastjson.JSON,"parseObject/3[java.lang.String,com.alibaba.fastjson.TypeReference<T>,com.alibaba.fastjson.parser.Feature[]]",False,275,4,1,0,1,1,1,3,1,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,24,9,0,True
5,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(String, Class<T>, Feature...)","/**
 * This method deserializes the specified Json into an object of the specified class. It is not
 * suitable to use if the specified class is a generic type since it will not have the generic
 * type information because of the Type Erasure feature of Java. Therefore, this method should not
 * be used if the desired type is a generic type. Note that this method works fine if the any of
 * the fields of the specified object are generics, just the object itself should not be a
 * generic type. For the cases when the object is of generic type, invoke
 * {@link #parseObject(String, Type, Feature[])}. If you have the Json in a {@link InputStream} instead of
 * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead.
 *
 * @param json the string from which the object is to be deserialized
 * @param clazz the class of T
 * @param features parser features
 * @return an object of type T from the string
 * classOfT
 */
@SuppressWarnings(""unchecked"")
public static <T> T parseObject(String json, Class<T> clazz, Feature... features) {
    return (T) parseObject(json, (Type) clazz, ParserConfig.global, null, DEFAULT_PARSER_FEATURE, features);
}","/**
 * This method deserializes the specified Json into an object of the specified class. It is not
 * suitable to use if the specified class is a generic type since it will not have the generic
 * type information because of the Type Erasure feature of Java. Therefore, this method should not
 * be used if the desired type is a generic type. Note that this method works fine if the any of
 * the fields of the specified object are generics, just the object itself should not be a
 * generic type. For the cases when the object is of generic type, invoke
 * {@link #parseObject(String, Type, Feature[])}. If you have the Json in a {@link InputStream} instead of
 * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead.
 *
 * @param json the string from which the object is to be deserialized
 * @param clazz the class of T
 * @param features parser features
 * @return an object of type T from the string
 * classOfT
 */
", ,"/** * This method deserializes the specified Json into an object of the specified class. It is not * suitable to use if the specified class is a generic type since it will not have the generic * type information because of the Type Erasure feature of Java. Therefore, this method should not * be used if the desired type is a generic type. Note that this method works fine if the any of * the fields of the specified object are generics, just the object itself should not be a * generic type. For the cases when the object is of generic type, invoke * {@link #parseObject(String, Type, Feature[])}. If you have the Json in a {@link InputStream} instead of * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead. * * @param json the string from which the object is to be deserialized * @param clazz the class of T * @param features parser features * @return an object of type T from the string * classOfT */",296,299,[0],0,[0],0,[0],0,0,0,0,"parseObject(String, Class<T>, Feature[])",com.alibaba.fastjson.JSON,"parseObject/3[java.lang.String,java.lang.Class<T>,com.alibaba.fastjson.parser.Feature[]]",False,297,3,2,1,1,1,1,3,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,65,9,0,True
6,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(String, Type, Feature...)","/**
 * This method deserializes the specified Json into an object of the specified type. This method
 * is useful if the specified object is a generic type. For non-generic objects, use
 * {@link #parseObject(String, Class, Feature[])} instead. If you have the Json in a {@link InputStream} instead of
 * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead.
 *
 * @param <T> the type of the desired object
 * @param json the string from which the object is to be deserialized
 * @param type The specific genericized type of src. You can obtain this type by using the
 * {@link com.alibaba.fastjson.TypeReference} class. For example, to get the type for
 * {@code Collection<Foo>}, you should use:
 * <pre>
 * Type type = new TypeReference&lt;Collection&lt;Foo&gt;&gt;(){}.getType();
 * </pre>
 * @return an object of type T from the string
 */
@SuppressWarnings(""unchecked"")
public static <T> T parseObject(String json, Type type, Feature... features) {
    return (T) parseObject(json, type, ParserConfig.global, DEFAULT_PARSER_FEATURE, features);
}","/**
 * This method deserializes the specified Json into an object of the specified type. This method
 * is useful if the specified object is a generic type. For non-generic objects, use
 * {@link #parseObject(String, Class, Feature[])} instead. If you have the Json in a {@link InputStream} instead of
 * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead.
 *
 * @param <T> the type of the desired object
 * @param json the string from which the object is to be deserialized
 * @param type The specific genericized type of src. You can obtain this type by using the
 * {@link com.alibaba.fastjson.TypeReference} class. For example, to get the type for
 * {@code Collection<Foo>}, you should use:
 * <pre>
 * Type type = new TypeReference&lt;Collection&lt;Foo&gt;&gt;(){}.getType();
 * </pre>
 * @return an object of type T from the string
 */
", ,"/** * This method deserializes the specified Json into an object of the specified type. This method * is useful if the specified object is a generic type. For non-generic objects, use * {@link #parseObject(String, Class, Feature[])} instead. If you have the Json in a {@link InputStream} instead of * a String, use {@link #parseObject(InputStream, Type, Feature[])} instead. * * @param <T> the type of the desired object * @param json the string from which the object is to be deserialized * @param type The specific genericized type of src. You can obtain this type by using the * {@link com.alibaba.fastjson.TypeReference} class. For example, to get the type for * {@code Collection<Foo>}, you should use: * <pre> * Type type = new TypeReference&lt;Collection&lt;Foo&gt;&gt;(){}.getType(); * </pre> * @return an object of type T from the string */",323,326,[0],0,[0],0,[0],0,0,0,0,"parseObject(String, Type, Feature[])",com.alibaba.fastjson.JSON,"parseObject/3[java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.Feature[]]",False,324,3,2,1,1,1,1,3,1,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,55,9,0,True
7,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(String, Type, ParserConfig, Feature...)","/**
 * @since 1.2.11
 */
public static <T> T parseObject(String input, Type clazz, ParserConfig config, Feature... features) {
    return parseObject(input, clazz, config, null, DEFAULT_PARSER_FEATURE, features);
}","/**
 * @since 1.2.11
 */
", ,/** * @since 1.2.11 */,356,358,[0],0,[0],0,[0],0,0,0,0,"parseObject(String, Type, ParserConfig, Feature[])",com.alibaba.fastjson.JSON,"parseObject/4[java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.Feature[]]",False,356,4,2,1,1,1,1,3,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,True
8,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(byte[], int, int, Charset, Type, Feature...)","/**
 * @since 1.2.11
 */
@SuppressWarnings(""unchecked"")
public static <T> T parseObject(byte[] bytes, int offset, int len, Charset charset, Type clazz, Feature... features) {
    return (T) parseObject(bytes, offset, len, charset, clazz, ParserConfig.global, null, DEFAULT_PARSER_FEATURE, features);
}","/**
 * @since 1.2.11
 */
", ,/** * @since 1.2.11 */,411,414,[0],0,[0],0,[0],0,0,0,0,"parseObject(byte[], int, int, Charset, Type, Feature[])",com.alibaba.fastjson.JSON,"parseObject/6[byte[],int,int,java.nio.charset.Charset,java.lang.reflect.Type,com.alibaba.fastjson.parser.Feature[]]",False,412,4,2,1,1,1,1,3,1,0,6,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,True
9,..\projects\fastjson-1.2.83\src\main\java\com\alibaba\fastjson\JSON.java,com.alibaba.fastjson.JSON,"T parseObject(byte[], Charset, Type, ParserConfig, ParseProcess, int, Feature...)","/**
 * @since 1.2.55
 */
@SuppressWarnings(""unchecked"")
public static <T> T parseObject(byte[] bytes, Charset charset, Type clazz, ParserConfig config, ParseProcess processor, int featureValues, Feature... features) {
    return (T) parseObject(bytes, 0, bytes.length, charset, clazz, config, processor, featureValues, features);
}","/**
 * @since 1.2.55
 */
", ,/** * @since 1.2.55 */,419,428,[0],0,[0],0,[0],0,0,0,0,"parseObject(byte[], Charset, Type, ParserConfig, ParseProcess, int, Feature[])",com.alibaba.fastjson.JSON,"parseObject/7[byte[],java.nio.charset.Charset,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]]",False,426,6,4,3,1,1,1,3,1,0,7,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,4,9,0,True
