ID,FilePath,ClassName,MethodName,Content,CommentFor,CommentsIn,CommentsAssociated,StartLine,EndLine,eachLabelCommentFor,CommentForLabel,eachLabelCommentsIn,CommentsInLabel,eachLabelCommentsAssociated,CommentsAssociatedLabel,PseudoLabelForCASFromMAT,PseudoLabelForCASFromGGSATD,PseudoLabelForCASFromXGBoost,MethodSimplified,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Codec.java,co.elastic.logstash.api.Codec,"void decode(ByteBuffer, Consumer<Map<String, Object>>)","/**
 * Decodes events from the specified {@link ByteBuffer} and passes them to the provided
 * {@link Consumer}.
 *
 * <ul>
 * <li>The client (typically an {@link Input}) must provide a {@link ByteBuffer} that
 * is ready for reading with with {@link ByteBuffer#position} indicating the next
 * position to read and {@link ByteBuffer#limit} indicating the first byte in the
 * buffer that is not safe to read.</li>
 *
 * <li>Implementations of {@link Codec} must ensure that {@link ByteBuffer#position}
 * reflects the last-read position before returning control.</li>
 *
 * <li>The client is then responsible for returning the buffer
 * to write mode via either {@link ByteBuffer#clear} or {@link ByteBuffer#compact} before
 * resuming writes.</li>
 * </ul>
 *
 * @param buffer        Input buffer from which events will be decoded.
 * @param eventConsumer Consumer to which decoded events will be passed.
 */
void decode(ByteBuffer buffer, Consumer<Map<String, Object>> eventConsumer);","/**
 * Decodes events from the specified {@link ByteBuffer} and passes them to the provided
 * {@link Consumer}.
 *
 * <ul>
 * <li>The client (typically an {@link Input}) must provide a {@link ByteBuffer} that
 * is ready for reading with with {@link ByteBuffer#position} indicating the next
 * position to read and {@link ByteBuffer#limit} indicating the first byte in the
 * buffer that is not safe to read.</li>
 *
 * <li>Implementations of {@link Codec} must ensure that {@link ByteBuffer#position}
 * reflects the last-read position before returning control.</li>
 *
 * <li>The client is then responsible for returning the buffer
 * to write mode via either {@link ByteBuffer#clear} or {@link ByteBuffer#compact} before
 * resuming writes.</li>
 * </ul>
 *
 * @param buffer        Input buffer from which events will be decoded.
 * @param eventConsumer Consumer to which decoded events will be passed.
 */
", ,/** * Decodes events from the specified {@link ByteBuffer} and passes them to the provided * {@link Consumer}. * * <ul> * <li>The client (typically an {@link Input}) must provide a {@link ByteBuffer} that * is ready for reading with with {@link ByteBuffer#position} indicating the next * position to read and {@link ByteBuffer#limit} indicating the first byte in the * buffer that is not safe to read.</li> * * <li>Implementations of {@link Codec} must ensure that {@link ByteBuffer#position} * reflects the last-read position before returning control.</li> * * <li>The client is then responsible for returning the buffer * to write mode via either {@link ByteBuffer#clear} or {@link ByteBuffer#compact} before * resuming writes.</li> * </ul> * * @param buffer        Input buffer from which events will be decoded. * @param eventConsumer Consumer to which decoded events will be passed. */,56,56,[0],0,[0],0,[0],0,0,0,0,"decode(ByteBuffer, Consumer<Map<String, Object>>)",co.elastic.logstash.api.Codec,"decode/2[java.nio.ByteBuffer,java.util.function.Consumer<java.util.Map<java.lang.String,java.lang.Object>>]",False,35,0,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,True
1,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Codec.java,co.elastic.logstash.api.Codec,"void flush(ByteBuffer, Consumer<Map<String, Object>>)","/**
 * Decodes all remaining events from the specified {@link ByteBuffer} along with any internal
 * state that may remain after previous calls to {@link #decode(ByteBuffer, Consumer)}.
 * @param buffer        Input buffer from which events will be decoded.
 * @param eventConsumer Consumer to which decoded events will be passed.
 */
void flush(ByteBuffer buffer, Consumer<Map<String, Object>> eventConsumer);","/**
 * Decodes all remaining events from the specified {@link ByteBuffer} along with any internal
 * state that may remain after previous calls to {@link #decode(ByteBuffer, Consumer)}.
 * @param buffer        Input buffer from which events will be decoded.
 * @param eventConsumer Consumer to which decoded events will be passed.
 */
", ,"/** * Decodes all remaining events from the specified {@link ByteBuffer} along with any internal * state that may remain after previous calls to {@link #decode(ByteBuffer, Consumer)}. * @param buffer        Input buffer from which events will be decoded. * @param eventConsumer Consumer to which decoded events will be passed. */",64,64,[0],0,[0],0,[0],0,0,0,0,"flush(ByteBuffer, Consumer<Map<String, Object>>)",co.elastic.logstash.api.Codec,"flush/2[java.nio.ByteBuffer,java.util.function.Consumer<java.util.Map<java.lang.String,java.lang.Object>>]",False,58,0,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,True
2,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Codec.java,co.elastic.logstash.api.Codec,"void encode(Event, OutputStream)","/**
 * Encodes an {@link Event} and writes it to the specified {@link OutputStream}.
 * @param event The event to encode.
 * @param output The stream to which the encoded event should be written.
 * @throws java.io.IOException Exceptions coming from the output stream
 */
void encode(Event event, OutputStream output) throws IOException;","/**
 * Encodes an {@link Event} and writes it to the specified {@link OutputStream}.
 * @param event The event to encode.
 * @param output The stream to which the encoded event should be written.
 * @throws java.io.IOException Exceptions coming from the output stream
 */
", ,/** * Encodes an {@link Event} and writes it to the specified {@link OutputStream}. * @param event The event to encode. * @param output The stream to which the encoded event should be written. * @throws java.io.IOException Exceptions coming from the output stream */,72,72,[0],0,[0],0,[0],0,0,0,0,"encode(Event, OutputStream)",co.elastic.logstash.api.Codec,"encode/2[co.elastic.logstash.api.Event,java.io.OutputStream]",False,66,1,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,True
3,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Codec.java,co.elastic.logstash.api.Codec,Codec cloneCodec(),"/**
 * Clones this {@link Codec}. All codecs should be capable of cloning themselves
 * so that distinct instances of each codec can be supplied to multi-threaded
 * inputs or outputs in cases where the codec is stateful.
 * @return The cloned {@link Codec}.
 */
Codec cloneCodec();","/**
 * Clones this {@link Codec}. All codecs should be capable of cloning themselves
 * so that distinct instances of each codec can be supplied to multi-threaded
 * inputs or outputs in cases where the codec is stateful.
 * @return The cloned {@link Codec}.
 */
", ,/** * Clones this {@link Codec}. All codecs should be capable of cloning themselves * so that distinct instances of each codec can be supplied to multi-threaded * inputs or outputs in cases where the codec is stateful. * @return The cloned {@link Codec}. */,80,80,[0],0,[0],0,[0],0,0,0,0,cloneCodec(),co.elastic.logstash.api.Codec,cloneCodec/0,False,74,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,True
4,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Configuration.java,co.elastic.logstash.api.Configuration,T get(PluginConfigSpec<T>),"/**
 * Strongly-typed accessor for a configuration setting.
 * @param configSpec The setting specification for which to retrieve the setting value.
 * @param <T>        The type of the setting value to be retrieved.
 * @return           The value of the setting for the specified setting specification.
 */
<T> T get(PluginConfigSpec<T> configSpec);","/**
 * Strongly-typed accessor for a configuration setting.
 * @param configSpec The setting specification for which to retrieve the setting value.
 * @param <T>        The type of the setting value to be retrieved.
 * @return           The value of the setting for the specified setting specification.
 */
", ,/** * Strongly-typed accessor for a configuration setting. * @param configSpec The setting specification for which to retrieve the setting value. * @param <T>        The type of the setting value to be retrieved. * @return           The value of the setting for the specified setting specification. */,36,36,[0],0,[0],0,[0],0,0,0,0,get(PluginConfigSpec<T>),co.elastic.logstash.api.Configuration,get/1[co.elastic.logstash.api.PluginConfigSpec<T>],False,30,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,True
5,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Configuration.java,co.elastic.logstash.api.Configuration,Object getRawValue(PluginConfigSpec<?>),"/**
 * Weakly-typed accessor for a configuration setting.
 * @param configSpec The setting specification for which to retrieve the setting value.
 * @return           The weakly-typed value of the setting for the specified setting specification.
 */
Object getRawValue(PluginConfigSpec<?> configSpec);","/**
 * Weakly-typed accessor for a configuration setting.
 * @param configSpec The setting specification for which to retrieve the setting value.
 * @return           The weakly-typed value of the setting for the specified setting specification.
 */
", ,/** * Weakly-typed accessor for a configuration setting. * @param configSpec The setting specification for which to retrieve the setting value. * @return           The weakly-typed value of the setting for the specified setting specification. */,43,43,[0],0,[0],0,[0],0,0,0,0,getRawValue(PluginConfigSpec<?>),co.elastic.logstash.api.Configuration,getRawValue/1[co.elastic.logstash.api.PluginConfigSpec<?>],False,38,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,True
6,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Configuration.java,co.elastic.logstash.api.Configuration,boolean contains(PluginConfigSpec<?>),"/**
 * @param configSpec The setting specification for which to search.
 * @return           {@code true} if a value for the specified setting specification exists in
 * this {@link Configuration}.
 */
boolean contains(PluginConfigSpec<?> configSpec);","/**
 * @param configSpec The setting specification for which to search.
 * @return           {@code true} if a value for the specified setting specification exists in
 * this {@link Configuration}.
 */
", ,/** * @param configSpec The setting specification for which to search. * @return           {@code true} if a value for the specified setting specification exists in * this {@link Configuration}. */,50,50,[0],0,[0],0,[0],0,0,0,0,contains(PluginConfigSpec<?>),co.elastic.logstash.api.Configuration,contains/1[co.elastic.logstash.api.PluginConfigSpec<?>],False,45,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,True
7,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Configuration.java,co.elastic.logstash.api.Configuration,Collection<String> allKeys(),"/**
 * @return Collection of the names of all settings in this configuration as reported by
 * {@link PluginConfigSpec#name()}.
 */
Collection<String> allKeys();","/**
 * @return Collection of the names of all settings in this configuration as reported by
 * {@link PluginConfigSpec#name()}.
 */
", ,/** * @return Collection of the names of all settings in this configuration as reported by * {@link PluginConfigSpec#name()}. */,56,56,[0],0,[0],0,[0],0,0,0,0,allKeys(),co.elastic.logstash.api.Configuration,allKeys/0,False,52,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,True
8,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Context.java,co.elastic.logstash.api.Context,DeadLetterQueueWriter getDlqWriter(),"/**
 * Provides a dead letter queue (DLQ) writer, if configured, to output plugins. If no DLQ writer
 * is configured or the plugin is not an output, {@code null} will be returned.
 * @return {@link DeadLetterQueueWriter} instance if available or {@code null} otherwise.
 */
DeadLetterQueueWriter getDlqWriter();","/**
 * Provides a dead letter queue (DLQ) writer, if configured, to output plugins. If no DLQ writer
 * is configured or the plugin is not an output, {@code null} will be returned.
 * @return {@link DeadLetterQueueWriter} instance if available or {@code null} otherwise.
 */
", ,"/** * Provides a dead letter queue (DLQ) writer, if configured, to output plugins. If no DLQ writer * is configured or the plugin is not an output, {@code null} will be returned. * @return {@link DeadLetterQueueWriter} instance if available or {@code null} otherwise. */",35,35,[0],0,[0],0,[0],0,0,0,0,getDlqWriter(),co.elastic.logstash.api.Context,getDlqWriter/0,False,30,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,True
9,..\projects\logstash-8.5.2\logstash-core\src\main\java\co\elastic\logstash\api\Context.java,co.elastic.logstash.api.Context,NamespacedMetric getMetric(Plugin),"/**
 * Provides a metric namespace scoped to the given {@code plugin} that metrics can be written to and
 * can be nested deeper with further namespaces.
 * @param plugin The plugin the metric should be scoped to
 * @return       A metric scoped to the current plugin
 */
NamespacedMetric getMetric(Plugin plugin);","/**
 * Provides a metric namespace scoped to the given {@code plugin} that metrics can be written to and
 * can be nested deeper with further namespaces.
 * @param plugin The plugin the metric should be scoped to
 * @return       A metric scoped to the current plugin
 */
", ,/** * Provides a metric namespace scoped to the given {@code plugin} that metrics can be written to and * can be nested deeper with further namespaces. * @param plugin The plugin the metric should be scoped to * @return       A metric scoped to the current plugin */,43,43,[0],0,[0],0,[0],0,0,0,0,getMetric(Plugin),co.elastic.logstash.api.Context,getMetric/1[co.elastic.logstash.api.Plugin],False,37,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,True
