ID,FilePath,ClassName,MethodName,Content,CommentFor,CommentsIn,CommentsAssociated,StartLine,EndLine,eachLabelCommentFor,CommentForLabel,eachLabelCommentsIn,CommentsInLabel,eachLabelCommentsAssociated,CommentsAssociatedLabel,PseudoLabelForCASFromMAT,PseudoLabelForCASFromGGSATD,PseudoLabelForCASFromXGBoost,MethodSimplified,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DBQueryResultImportReader.java,com.google.refine.extension.database.DBQueryResultImportReader,List<Object> getNextRowOfCells(),"@Override
public List<Object> getNextRowOfCells() throws IOException {
    try {
        if (!usedHeaders) {
            List<Object> row = new ArrayList<Object>(dbColumns.size());
            for (DatabaseColumn cd : dbColumns) {
                row.add(cd.getName());
            }
            usedHeaders = true;
            // logger.info(""Exit::getNextRowOfCells return header::row:"" +  row);
            return row;
        }
        if (rowsOfCells == null || (nextRow >= batchRowStart + rowsOfCells.size() && !end)) {
            int newBatchRowStart = batchRowStart + (rowsOfCells == null ? 0 : rowsOfCells.size());
            rowsOfCells = getRowsOfCells(newBatchRowStart);
            processedRows = processedRows + rowsOfCells.size();
            batchRowStart = newBatchRowStart;
            setProgress(job, querySource, -1);
        }
        if (rowsOfCells != null && nextRow - batchRowStart < rowsOfCells.size()) {
            List<Object> result = rowsOfCells.get(nextRow++ - batchRowStart);
            if (nextRow >= batchSize) {
                rowsOfCells = getRowsOfCells(processedRows);
                processedRows = processedRows + rowsOfCells.size();
                if (logger.isDebugEnabled()) {
                    logger.debug(""[[ Returning last row in batch:nextRow::{}, processedRows:{} ]]"", nextRow, processedRows);
                }
                nextRow = 0;
                if (processedRows % 100 == 0) {
                    setProgress(job, querySource, progress++);
                }
                if (processedRows % 10000 == 0) {
                    if (logger.isDebugEnabled()) {
                        logger.debug(""[[ {} rows processed... ]]"", processedRows);
                    }
                }
            }
            return result;
        } else {
            if (logger.isDebugEnabled()) {
                logger.debug(""[[processedRows:{} ]]"", processedRows);
            }
            return null;
        }
    } catch (DatabaseServiceException e) {
        logger.error(""DatabaseServiceException::{}"", e);
        throw new IOException(e);
    }
}", ,"// logger.info(""Exit::getNextRowOfCells return header::row:"" +  row);
[[SEP]]/* batchRowStart * 100 / totalRows */
","// logger.info(""Exit::getNextRowOfCells return header::row:"" +  row);",85,144,[0],0,"[0, 0]",0,[0],0,0,0,0,getNextRowOfCells(),com.google.refine.extension.database.DBQueryResultImportReader,getNextRowOfCells/0,False,86,2,3,0,3,16,10,49,3,3,0,10,2,1,1,5,1,2,4,7,10,8,5,0,0,0,36,1,4,False
1,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DBQueryResultImportReader.java,com.google.refine.extension.database.DBQueryResultImportReader,List<List<Object>> getRowsOfCells(int),"/**
 * @param startRow
 * @return
 * @throws IOException
 * @throws DatabaseServiceException
 */
private List<List<Object>> getRowsOfCells(int startRow) throws IOException, DatabaseServiceException {
    // logger.info(""Entry getRowsOfCells::startRow:"" + startRow);
    List<List<Object>> rowsOfCells = new ArrayList<List<Object>>(batchSize);
    String query = databaseService.buildLimitQuery(batchSize, startRow, dbQueryInfo.getQuery());
    // logger.info(""batchSize::""  + batchSize +  "" startRow::"" + startRow + "" query::"" + query );
    List<DatabaseRow> dbRows = databaseService.getRows(dbQueryInfo.getDbConfig(), query);
    if (dbRows != null && !dbRows.isEmpty() && dbRows.size() > 0) {
        for (DatabaseRow dbRow : dbRows) {
            List<String> row = dbRow.getValues();
            List<Object> rowOfCells = new ArrayList<Object>(row.size());
            for (int j = 0; j < row.size() && j < dbColumns.size(); j++) {
                String text = row.get(j);
                if (text == null || text.isEmpty()) {
                    rowOfCells.add(null);
                } else {
                    DatabaseColumn col = dbColumns.get(j);
                    if (col.getType() == DatabaseColumnType.NUMBER) {
                        try {
                            rowOfCells.add(Long.parseLong(text));
                            continue;
                        } catch (NumberFormatException e) {
                        }
                    } else if (col.getType() == DatabaseColumnType.DOUBLE || col.getType() == DatabaseColumnType.FLOAT) {
                        try {
                            double d = Double.parseDouble(text);
                            if (!Double.isInfinite(d) && !Double.isNaN(d)) {
                                rowOfCells.add(d);
                                continue;
                            }
                        } catch (NumberFormatException e) {
                        }
                    }
                    rowOfCells.add(text);
                }
            }
            rowsOfCells.add(rowOfCells);
        }
    }
    end = dbRows.size() < batchSize + 1;
    // logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);
    return rowsOfCells;
}","/**
 * @param startRow
 * @return
 * @throws IOException
 * @throws DatabaseServiceException
 */
","// logger.info(""Entry getRowsOfCells::startRow:"" + startRow);
[[SEP]]// logger.info(""batchSize::""  + batchSize +  "" startRow::"" + startRow + "" query::"" + query );
[[SEP]]// logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);
","/** * @param startRow * @return * @throws IOException * @throws DatabaseServiceException */[[SEP]]// logger.info(""Entry getRowsOfCells::startRow:"" + startRow);[[SEP]]// logger.info(""batchSize::""  + batchSize +  "" startRow::"" + startRow + "" query::"" + query );[[SEP]]// logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);",152,206,[0],0,"[0, 0, 0]",0,"[0, 0, 0, 0]",0,0,0,0,getRowsOfCells(int),com.google.refine.extension.database.DBQueryResultImportReader,getRowsOfCells/1[int],False,152,4,7,1,6,17,19,43,1,9,1,19,0,0,2,5,2,0,0,3,10,1,7,0,0,0,27,2,0,True
2,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DBQueryResultPreviewReader.java,com.google.refine.extension.database.DBQueryResultPreviewReader,List<Object> getNextRowOfCells(),"@Override
public List<Object> getNextRowOfCells() throws IOException {
    // logger.info(""Entry::getNextRowOfCells"");
    try {
        if (!usedHeaders) {
            List<Object> row = new ArrayList<Object>(dbColumns.size());
            for (DatabaseColumn cd : dbColumns) {
                row.add(cd.getName());
            }
            usedHeaders = true;
            // logger.debug(""Exit::getNextRowOfCells return header::row:"" +  row);
            return row;
        }
        if (rowsOfCells == null || (nextRow >= batchRowStart + rowsOfCells.size() && !end)) {
            int newBatchRowStart = batchRowStart + (rowsOfCells == null ? 0 : rowsOfCells.size());
            rowsOfCells = getRowsOfCells(newBatchRowStart);
            batchRowStart = newBatchRowStart;
            setProgress(job, querySource, -1);
            // logger.info(""getNextRowOfCells:: rowsOfCellsIsNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);
        }
        if (rowsOfCells != null && nextRow - batchRowStart < rowsOfCells.size()) {
            // logger.info(""Exit::getNextRowOfCells :rowsOfCellsNotNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);
            return rowsOfCells.get(nextRow++ - batchRowStart);
        } else {
            if (logger.isDebugEnabled()) {
                logger.debug(""nextRow:{}, batchRowStart:{}"", nextRow, batchRowStart);
            }
            return null;
        }
    } catch (DatabaseServiceException e) {
        logger.error(""DatabaseServiceException::preview:{}"", e.getMessage());
        IOException ioEx = new IOException(e.getMessage(), e);
        throw ioEx;
    }
}", ,"// logger.info(""Entry::getNextRowOfCells"");
[[SEP]]// logger.debug(""Exit::getNextRowOfCells return header::row:"" +  row);
[[SEP]]// logger.info(""getNextRowOfCells:: rowsOfCellsIsNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);
[[SEP]]/* batchRowStart * 100 / totalRows */
[[SEP]]// logger.info(""Exit::getNextRowOfCells :rowsOfCellsNotNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);
","// logger.info(""Entry::getNextRowOfCells"");[[SEP]]// logger.debug(""Exit::getNextRowOfCells return header::row:"" +  row);[[SEP]]// logger.info(""getNextRowOfCells:: rowsOfCellsIsNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);[[SEP]]// logger.info(""Exit::getNextRowOfCells :rowsOfCellsNotNull::rowsOfCells size:"" + rowsOfCells.size() + "":batchRowStart:"" + batchRowStart + "" ::nextRow:"" + nextRow);",81,125,[0],0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0]",0,0,0,0,getNextRowOfCells(),com.google.refine.extension.database.DBQueryResultPreviewReader,getNextRowOfCells/0,False,82,2,3,0,3,11,11,32,3,3,0,11,2,1,1,3,1,2,2,2,6,4,3,0,0,0,32,1,2,False
3,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DBQueryResultPreviewReader.java,com.google.refine.extension.database.DBQueryResultPreviewReader,List<List<Object>> getRowsOfCells(int),"/**
 * @param startRow
 * @return
 * @throws IOException
 * @throws DatabaseServiceException
 */
private List<List<Object>> getRowsOfCells(int startRow) throws IOException, DatabaseServiceException {
    // logger.info(""Entry getRowsOfCells::startRow:"" + startRow);
    List<List<Object>> rowsOfCells = new ArrayList<List<Object>>(batchSize);
    String query = databaseService.buildLimitQuery(batchSize, startRow, dbQueryInfo.getQuery());
    if (logger.isDebugEnabled()) {
        logger.debug(""batchSize::"" + batchSize + "" startRow::"" + startRow + "" query::"" + query);
    }
    List<DatabaseRow> dbRows = databaseService.getRows(dbQueryInfo.getDbConfig(), query);
    if (dbRows != null && !dbRows.isEmpty() && dbRows.size() > 0) {
        for (DatabaseRow dbRow : dbRows) {
            List<String> row = dbRow.getValues();
            List<Object> rowOfCells = new ArrayList<Object>(row.size());
            for (int j = 0; j < row.size() && j < dbColumns.size(); j++) {
                String text = row.get(j);
                if (text == null || text.isEmpty()) {
                    rowOfCells.add(null);
                } else {
                    DatabaseColumn col = dbColumns.get(j);
                    if (col.getType() == DatabaseColumnType.NUMBER) {
                        try {
                            rowOfCells.add(Long.parseLong(text));
                            continue;
                        } catch (NumberFormatException e) {
                        }
                    } else if (col.getType() == DatabaseColumnType.DOUBLE || col.getType() == DatabaseColumnType.FLOAT) {
                        try {
                            double d = Double.parseDouble(text);
                            if (!Double.isInfinite(d) && !Double.isNaN(d)) {
                                rowOfCells.add(d);
                                continue;
                            }
                        } catch (NumberFormatException e) {
                        }
                    }
                    rowOfCells.add(text);
                }
            }
            rowsOfCells.add(rowOfCells);
        }
    }
    end = dbRows.size() < batchSize + 1;
    // logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);
    return rowsOfCells;
}","/**
 * @param startRow
 * @return
 * @throws IOException
 * @throws DatabaseServiceException
 */
","// logger.info(""Entry getRowsOfCells::startRow:"" + startRow);
[[SEP]]// logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);
","/** * @param startRow * @return * @throws IOException * @throws DatabaseServiceException */[[SEP]]// logger.info(""Entry getRowsOfCells::startRow:"" + startRow);[[SEP]]// logger.info(""Exit::getRowsOfCells::rowsOfCells:{}"", rowsOfCells);",134,189,[0],0,"[0, 0]",0,"[0, 0, 0]",0,0,0,0,getRowsOfCells(int),com.google.refine.extension.database.DBQueryResultPreviewReader,getRowsOfCells/1[int],False,134,4,7,1,6,18,21,46,1,9,1,21,0,0,2,5,2,0,3,3,10,2,7,0,0,0,27,2,1,True
4,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"void doInitializeParserUI(HttpServletRequest, HttpServletResponse, Properties)","/**
 * @param request
 * @param response
 * @param parameters
 * @throws ServletException
 * @throws IOException
 */
private void doInitializeParserUI(HttpServletRequest request, HttpServletResponse response, Properties parameters) throws ServletException, IOException {
    if (logger.isDebugEnabled()) {
        logger.debug(""::doInitializeParserUI::"");
    }
    ObjectNode result = ParsingUtilities.mapper.createObjectNode();
    ObjectNode options = ParsingUtilities.mapper.createObjectNode();
    JSONUtilities.safePut(result, ""status"", ""ok"");
    JSONUtilities.safePut(result, OPTIONS_KEY, options);
    JSONUtilities.safePut(options, ""skipDataLines"", 0);
    JSONUtilities.safePut(options, ""storeBlankRows"", true);
    JSONUtilities.safePut(options, ""storeBlankCellsAsNulls"", true);
    if (logger.isDebugEnabled()) {
        logger.debug(""doInitializeParserUI:::{}"", result.toString());
    }
    HttpUtilities.respond(response, result.toString());
}","/**
 * @param request
 * @param response
 * @param parameters
 * @throws ServletException
 * @throws IOException
 */
", ,/** * @param request * @param response * @param parameters * @throws ServletException * @throws IOException */,135,156,[0],0,[0],0,[0],0,0,0,0,"doInitializeParserUI(HttpServletRequest, HttpServletResponse, Properties)",com.google.refine.extension.database.DatabaseImportController,"doInitializeParserUI/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",False,136,4,2,1,1,3,6,16,0,2,3,6,0,0,0,0,0,0,7,1,2,0,1,0,0,0,17,2,2,True
5,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"void doParsePreview(HttpServletRequest, HttpServletResponse, Properties)","/**
 * doParsePreview
 * @param request
 * @param response
 * @param parameters
 * @throws ServletException
 * @throws IOException
 * @throws DatabaseServiceException
 */
private void doParsePreview(HttpServletRequest request, HttpServletResponse response, Properties parameters) throws ServletException, IOException, DatabaseServiceException {
    if (logger.isDebugEnabled()) {
        logger.debug(""JobID::{}"", parameters.getProperty(""jobID""));
    }
    long jobID = Long.parseLong(parameters.getProperty(""jobID""));
    ImportingJob job = ImportingManager.getJob(jobID);
    if (job == null) {
        HttpUtilities.respond(response, ""error"", ""No such import job"");
        return;
    }
    DatabaseQueryInfo databaseQueryInfo = getQueryInfo(request);
    if (databaseQueryInfo == null) {
        HttpUtilities.respond(response, ""error"", ""Invalid or missing Query Info"");
    }
    job.updating = true;
    try {
        ObjectNode optionObj = ParsingUtilities.evaluateJsonStringToObjectNode(request.getParameter(""options""));
        List<Exception> exceptions = new LinkedList<Exception>();
        job.prepareNewProject();
        parsePreview(databaseQueryInfo, job.project, job.metadata, job, DEFAULT_PREVIEW_LIMIT, optionObj, exceptions);
        Writer w = response.getWriter();
        JsonGenerator writer = ParsingUtilities.mapper.getFactory().createGenerator(w);
        try {
            writer.writeStartObject();
            if (exceptions.size() == 0) {
                // update all internal models, indexes, caches, etc.
                job.project.update();
                writer.writeStringField(""status"", ""ok"");
            } else {
                writer.writeStringField(""status"", ""error"");
                writer.writeStringField(""message"", getExceptionString(exceptions));
            }
            writer.writeEndObject();
        } catch (IOException e) {
            throw new ServletException(e);
        } finally {
            writer.flush();
            writer.close();
            w.flush();
            w.close();
        }
    } catch (IOException e) {
        throw new ServletException(e);
    } finally {
        job.touch();
        job.updating = false;
    }
}","/**
 * doParsePreview
 * @param request
 * @param response
 * @param parameters
 * @throws ServletException
 * @throws IOException
 * @throws DatabaseServiceException
 */
","// update all internal models, indexes, caches, etc.
","/** * doParsePreview * @param request * @param response * @param parameters * @throws ServletException * @throws IOException * @throws DatabaseServiceException */[[SEP]]// update all internal models, indexes, caches, etc.",168,236,[0],0,[0],0,"[0, 0]",0,0,0,0,"doParsePreview(HttpServletRequest, HttpServletResponse, Properties)",com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",False,170,9,5,1,4,7,25,52,1,7,3,25,3,2,0,3,2,0,13,1,9,0,3,0,0,0,40,2,1,True
6,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,String getExceptionString(List<Exception>),"private String getExceptionString(List<Exception> exceptions) {
    String ex = """";
    for (Exception e : exceptions) {
        ex = ex + e.getLocalizedMessage() + ""\n"";
    }
    // TODO Auto-generated method stub
    return ex;
}", ,"// TODO Auto-generated method stub
",// TODO Auto-generated method stub,240,247,[0],0,[1],1,[1],1,1,0,1,getExceptionString(List<Exception>),com.google.refine.extension.database.DatabaseImportController,getExceptionString/1[java.util.List<java.lang.Exception>],False,240,0,1,1,0,2,1,7,1,1,1,1,0,0,1,0,0,0,2,0,2,1,1,0,0,0,6,2,0,False
7,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"void parsePreview(DatabaseQueryInfo, Project, ProjectMetadata, ImportingJob, int, ObjectNode, List<Exception>)","/**
 * @param dbQueryInfo
 * @param project
 * @param metadata
 * @param job
 * @param limit
 * @param options
 * @param exceptions
 * @throws DatabaseServiceException
 */
private static void parsePreview(DatabaseQueryInfo dbQueryInfo, Project project, ProjectMetadata metadata, final ImportingJob job, int limit, ObjectNode options, List<Exception> exceptions) throws DatabaseServiceException {
    DatabaseService databaseService = DatabaseService.get(dbQueryInfo.getDbConfig().getDatabaseType());
    String querySource = getQuerySource(dbQueryInfo);
    List<DatabaseColumn> columns = databaseService.getColumns(dbQueryInfo.getDbConfig(), dbQueryInfo.getQuery());
    setProgress(job, querySource, -1);
    // number of blank lines at the beginning to ignore
    JSONUtilities.safePut(options, ""ignoreLines"", 0);
    // number of header lines
    JSONUtilities.safePut(options, ""headerLines"", 1);
    TabularImportingParserBase.readTable(project, metadata, job, new DBQueryResultPreviewReader(job, databaseService, querySource, columns, dbQueryInfo, 100), querySource, limit, options, exceptions);
    setProgress(job, querySource, 100);
}","/**
 * @param dbQueryInfo
 * @param project
 * @param metadata
 * @param job
 * @param limit
 * @param options
 * @param exceptions
 * @throws DatabaseServiceException
 */
","// number of blank lines at the beginning to ignore
[[SEP]]// number of header lines
",/** * @param dbQueryInfo * @param project * @param metadata * @param job * @param limit * @param options * @param exceptions * @throws DatabaseServiceException */[[SEP]]// number of blank lines at the beginning to ignore[[SEP]]// number of header lines,260,295,[0],0,"[0, 0]",0,"[0, 0, 0]",0,0,0,0,"parsePreview(DatabaseQueryInfo, Project, ProjectMetadata, ImportingJob, int, ObjectNode, List<Exception>)",com.google.refine.extension.database.DatabaseImportController,"parsePreview/7[com.google.refine.extension.database.model.DatabaseQueryInfo,com.google.refine.extension.database.Project,com.google.refine.extension.database.ProjectMetadata,com.google.refine.extension.database.ImportingJob,int,com.google.refine.extension.database.ObjectNode,java.util.List<java.lang.Exception>]",False,267,10,9,1,8,1,9,10,0,3,7,9,2,1,0,0,0,0,2,5,3,0,0,0,0,0,27,10,0,True
8,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"void doCreateProject(HttpServletRequest, HttpServletResponse, Properties)","/**
 * doCreateProject
 * @param request
 * @param response
 * @param parameters
 */
private void doCreateProject(HttpServletRequest request, HttpServletResponse response, Properties parameters) throws ServletException, IOException {
    if (logger.isDebugEnabled()) {
        logger.debug(""DatabaseImportController::doCreateProject:::{}"", parameters.getProperty(""jobID""));
    }
    long jobID = Long.parseLong(parameters.getProperty(""jobID""));
    final ImportingJob job = ImportingManager.getJob(jobID);
    if (job == null) {
        HttpUtilities.respond(response, ""error"", ""No such import job"");
        return;
    }
    final DatabaseQueryInfo databaseQueryInfo = getQueryInfo(request);
    if (databaseQueryInfo == null) {
        HttpUtilities.respond(response, ""error"", ""Invalid or missing Query Info"");
    }
    job.updating = true;
    try {
        final ObjectNode optionObj = ParsingUtilities.evaluateJsonStringToObjectNode(request.getParameter(""options""));
        final List<Exception> exceptions = new LinkedList<Exception>();
        job.setState(""creating-project"");
        final Project project = new Project();
        new Thread() {

            @Override
            public void run() {
                ProjectMetadata pm = new ProjectMetadata();
                pm.setName(JSONUtilities.getString(optionObj, ""projectName"", ""Untitled""));
                pm.setEncoding(JSONUtilities.getString(optionObj, ""encoding"", ""UTF-8""));
                try {
                    parseCreate(databaseQueryInfo, project, pm, job, -1, optionObj, exceptions);
                } catch (DatabaseServiceException e) {
                    logger.error(""DatabaseImportController::doCreateProject:::run{}"", e);
                    // throw new RuntimeException(""DatabaseServiceException::"", e);
                }
                if (!job.canceled) {
                    if (exceptions.size() > 0) {
                        job.setError(exceptions);
                    } else {
                        // update all internal models, indexes, caches, etc.
                        project.update();
                        ProjectManager.singleton.registerProject(project, pm);
                        job.setState(""created-project"");
                        job.setProjectID(project.id);
                        // logger.info(""DatabaseImportController::doCreateProject:::run::projectID :{}"", project.id);
                    }
                    job.touch();
                    job.updating = false;
                }
            }
        }.start();
        HttpUtilities.respond(response, ""ok"", ""done"");
    } catch (IOException e) {
        throw new ServletException(e);
    }
}","/**
 * doCreateProject
 * @param request
 * @param response
 * @param parameters
 */
","// throw new RuntimeException(""DatabaseServiceException::"", e);
[[SEP]]// logger.info(""DatabaseImportController::doCreateProject:::run::projectID :{}"", project.id);
[[SEP]]// update all internal models, indexes, caches, etc.
","/** * doCreateProject * @param request * @param response * @param parameters */[[SEP]]// throw new RuntimeException(""DatabaseServiceException::"", e);[[SEP]]// update all internal models, indexes, caches, etc.[[SEP]]// logger.info(""DatabaseImportController::doCreateProject:::run::projectID :{}"", project.id);",304,376,[0],0,"[0, 0, 0]",0,"[0, 0, 0, 0]",0,0,0,0,"doCreateProject(HttpServletRequest, HttpServletResponse, Properties)",com.google.refine.extension.database.DatabaseImportController,"doCreateProject/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",False,305,9,4,1,3,5,11,53,1,6,3,11,1,1,0,2,1,0,11,0,7,0,1,1,0,0,40,2,1,True
9,..\projects\openrefine-3.6.2\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"void parseCreate(DatabaseQueryInfo, Project, ProjectMetadata, ImportingJob, int, ObjectNode, List<Exception>)","/**
 * @param dbQueryInfo
 * @param project
 * @param metadata
 * @param job
 * @param limit
 * @param options
 * @param exceptions
 * @throws DatabaseServiceException
 */
private static void parseCreate(DatabaseQueryInfo dbQueryInfo, Project project, ProjectMetadata metadata, final ImportingJob job, int limit, ObjectNode options, List<Exception> exceptions) throws DatabaseServiceException {
    DatabaseService databaseService = DatabaseService.get(dbQueryInfo.getDbConfig().getDatabaseType());
    String querySource = getQuerySource(dbQueryInfo);
    List<DatabaseColumn> columns = databaseService.getColumns(dbQueryInfo.getDbConfig(), dbQueryInfo.getQuery());
    setProgress(job, querySource, -1);
    // number of blank lines at the beginning to ignore
    JSONUtilities.safePut(options, ""ignoreLines"", 0);
    // number of header lines
    JSONUtilities.safePut(options, ""headerLines"", 1);
    long startTime = System.currentTimeMillis();
    TabularImportingParserBase.readTable(project, metadata, job, new DBQueryResultImportReader(job, databaseService, querySource, columns, dbQueryInfo, getCreateBatchSize()), querySource, limit, options, exceptions);
    long endTime = System.currentTimeMillis();
    if (logger.isDebugEnabled()) {
        logger.debug(""Execution Time: {}"", endTime - startTime);
    }
    setProgress(job, querySource, 100);
}","/**
 * @param dbQueryInfo
 * @param project
 * @param metadata
 * @param job
 * @param limit
 * @param options
 * @param exceptions
 * @throws DatabaseServiceException
 */
","// number of blank lines at the beginning to ignore
[[SEP]]// number of header lines
",/** * @param dbQueryInfo * @param project * @param metadata * @param job * @param limit * @param options * @param exceptions * @throws DatabaseServiceException */[[SEP]]// number of blank lines at the beginning to ignore[[SEP]]// number of header lines,389,429,[0],0,"[0, 0]",0,"[0, 0, 0]",0,0,0,0,"parseCreate(DatabaseQueryInfo, Project, ProjectMetadata, ImportingJob, int, ObjectNode, List<Exception>)",com.google.refine.extension.database.DatabaseImportController,"parseCreate/7[com.google.refine.extension.database.model.DatabaseQueryInfo,com.google.refine.extension.database.Project,com.google.refine.extension.database.ProjectMetadata,com.google.refine.extension.database.ImportingJob,int,com.google.refine.extension.database.ObjectNode,java.util.List<java.lang.Exception>]",False,396,10,10,1,9,2,13,15,0,5,7,13,3,1,0,0,0,0,3,4,5,1,1,0,0,0,31,10,1,True
