ID,FilePath,ClassName,MethodName,Content,CommentFor,CommentsIn,CommentsAssociated,StartLine,EndLine,eachLabelCommentFor,CommentForLabel,eachLabelCommentsIn,CommentsInLabel,eachLabelCommentsAssociated,CommentsAssociatedLabel,PseudoLabelForCASFromMAT,PseudoLabelForCASFromGGSATD,PseudoLabelForCASFromXGBoost,MethodSimplified,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
0,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\GooglePaymentsPublicKeysManager.java,com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager,String getTrustedSigningKeysJson(),"/**
 * Returns a string containing a JSON with the Google public signing keys.
 *
 * <p>Meant to be called by {@link PaymentMethodTokenRecipient}.
 */
String getTrustedSigningKeysJson() throws IOException {
    return this.downloader.download();
}","/**
 * Returns a string containing a JSON with the Google public signing keys.
 *
 * <p>Meant to be called by {@link PaymentMethodTokenRecipient}.
 */
", ,/** * Returns a string containing a JSON with the Google public signing keys. * * <p>Meant to be called by {@link PaymentMethodTokenRecipient}. */,96,98,[0],0,[0],0,[0],0,0,0,0,getTrustedSigningKeysJson(),com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager,getTrustedSigningKeysJson/0,False,96,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,True
1,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\GooglePaymentsPublicKeysManager.java,com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager,void refreshInBackground(),"/**
 * Fetches keys in the background.
 */
public void refreshInBackground() {
    downloader.refreshInBackground();
}","/**
 * Fetches keys in the background.
 */
", ,/** * Fetches keys in the background. */,101,103,[0],0,[0],0,[0],0,0,0,0,refreshInBackground(),com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager,refreshInBackground/0,False,101,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,True
2,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\GooglePaymentsPublicKeysManager.java,com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager.Builder,Builder setHttpTransport(HttpTransport),"/**
 * Sets the HTTP transport.
 *
 * <p>You generally should not need to set a custom transport as the default transport {@link
 * GooglePaymentsPublicKeysManager#DEFAULT_HTTP_TRANSPORT} should be suited for most use cases.
 */
public Builder setHttpTransport(HttpTransport httpTransport) {
    this.httpTransport = httpTransport;
    return this;
}","/**
 * Sets the HTTP transport.
 *
 * <p>You generally should not need to set a custom transport as the default transport {@link
 * GooglePaymentsPublicKeysManager#DEFAULT_HTTP_TRANSPORT} should be suited for most use cases.
 */
", ,/** * Sets the HTTP transport. * * <p>You generally should not need to set a custom transport as the default transport {@link * GooglePaymentsPublicKeysManager#DEFAULT_HTTP_TRANSPORT} should be suited for most use cases. */,125,128,[0],0,[0],0,[0],0,0,0,0,setHttpTransport(HttpTransport),com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager$Builder,setHttpTransport/1[com.google.crypto.tink.apps.paymentmethodtoken.HttpTransport],False,125,2,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,True
3,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\GooglePaymentsPublicKeysManager.java,com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager.Builder,GooglePaymentsPublicKeysManager build(),"public GooglePaymentsPublicKeysManager build() {
    // If all parameters are equal to the existing singleton instances, returning them instead.
    // This is more a safe guard if users of this class construct a new class and forget to
    // save in a singleton.
    for (GooglePaymentsPublicKeysManager instance : Arrays.asList(INSTANCE_PRODUCTION, INSTANCE_TEST)) {
        if (instance.getHttpTransport() == httpTransport && instance.getUrl().equals(keysUrl)) {
            return instance;
        }
    }
    return new GooglePaymentsPublicKeysManager(DEFAULT_BACKGROUND_EXECUTOR, httpTransport, keysUrl);
}", ,"// If all parameters are equal to the existing singleton instances, returning them instead.
[[SEP]]// This is more a safe guard if users of this class construct a new class and forget to
[[SEP]]// save in a singleton.
","// If all parameters are equal to the existing singleton instances, returning them instead.// This is more a safe guard if users of this class construct a new class and forget to// save in a singleton.",130,142,[0],0,"[0, 0, 0]",0,[0],0,0,0,0,build(),com.google.crypto.tink.apps.paymentmethodtoken.GooglePaymentsPublicKeysManager$Builder,build/0,False,130,1,6,3,3,4,4,8,2,0,0,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0,11,1,0,False
4,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,String unseal(String),"/**
 * Unseal the given {@code sealedMessage} by performing the necessary signature verification and
 * decryption (if required) steps based on the protocolVersion.
 */
public String unseal(final String sealedMessage) throws GeneralSecurityException {
    try {
        if (protocolVersion.equals(PaymentMethodTokenConstants.PROTOCOL_VERSION_EC_V1)) {
            return unsealECV1(sealedMessage);
        } else if (protocolVersion.equals(PaymentMethodTokenConstants.PROTOCOL_VERSION_EC_V2)) {
            return unsealECV2(sealedMessage);
        } else if (protocolVersion.equals(PaymentMethodTokenConstants.PROTOCOL_VERSION_EC_V2_SIGNING_ONLY)) {
            return unsealECV2SigningOnly(sealedMessage);
        }
        throw new IllegalArgumentException(""unsupported version: "" + protocolVersion);
    } catch (JsonParseException | IllegalStateException e) {
        throw new GeneralSecurityException(""cannot unseal; invalid JSON message"", e);
    }
}","/**
 * Unseal the given {@code sealedMessage} by performing the necessary signature verification and
 * decryption (if required) steps based on the protocolVersion.
 */
", ,/** * Unseal the given {@code sealedMessage} by performing the necessary signature verification and * decryption (if required) steps based on the protocolVersion. */,337,351,[0],0,[0],0,[0],0,0,0,0,unseal(String),com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,unseal/1[java.lang.String],False,337,1,59,56,3,5,4,17,3,0,1,4,3,7,0,0,1,0,2,0,0,1,2,0,0,0,38,1,0,True
5,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,"byte[] getSignedBytes(String, String)","private byte[] getSignedBytes(String protocolVersion, String signedMessage) throws GeneralSecurityException {
    return PaymentMethodTokenUtil.toLengthValue(// The order of the parameters matters.
    senderId, recipientId, protocolVersion, signedMessage);
}", ,"// The order of the parameters matters.
",// The order of the parameters matters.,407,412,[0],0,[0],0,[0],0,0,0,0,"getSignedBytes(String, String)",com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,"getSignedBytes/2[java.lang.String,java.lang.String]",False,408,2,3,2,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,False
6,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,void validateMessage(String),"private void validateMessage(String decryptedMessage) throws GeneralSecurityException {
    JsonObject decodedMessage;
    try {
        decodedMessage = JsonParser.parseString(decryptedMessage).getAsJsonObject();
    } catch (JsonParseException | IllegalStateException e) {
        // Message wasn't a valid JSON, so nothing to validate.
        return;
    }
    // If message expiration is present, checking it.
    if (decodedMessage.has(PaymentMethodTokenConstants.JSON_MESSAGE_EXPIRATION_KEY)) {
        long expirationInMillis = Long.parseLong(decodedMessage.get(PaymentMethodTokenConstants.JSON_MESSAGE_EXPIRATION_KEY).getAsString());
        if (expirationInMillis <= Instant.now().getMillis()) {
            throw new GeneralSecurityException(""expired payload"");
        }
    }
}", ,"// Message wasn't a valid JSON, so nothing to validate.
[[SEP]]// If message expiration is present, checking it.
","// Message wasn't a valid JSON, so nothing to validate.[[SEP]]// If message expiration is present, checking it.",414,435,[0],0,"[0, 0]",0,"[0, 0]",0,0,0,0,validateMessage(String),com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,validateMessage/1[java.lang.String],False,414,1,3,3,0,4,8,15,1,2,1,8,0,0,0,0,1,0,1,0,2,0,2,0,0,0,16,2,0,False
7,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,"void verify(String, List<SenderVerifyingKeysProvider>, List<byte[]>, byte[])","private static void verify(final String protocolVersion, final List<SenderVerifyingKeysProvider> senderVerifyingKeysProviders, final List<byte[]> signatures, final byte[] signedBytes) throws GeneralSecurityException {
    boolean verified = false;
    for (SenderVerifyingKeysProvider verifyingKeysProvider : senderVerifyingKeysProviders) {
        for (ECPublicKey publicKey : verifyingKeysProvider.get(protocolVersion)) {
            EcdsaVerifyJce verifier = new EcdsaVerifyJce(publicKey, PaymentMethodTokenConstants.ECDSA_HASH_SHA256, EcdsaEncoding.DER);
            for (byte[] signature : signatures) {
                try {
                    verifier.verify(signature, signedBytes);
                    // No exception means the signature is valid.
                    verified = true;
                } catch (GeneralSecurityException e) {
                    // ignored, try again
                }
            }
        }
    }
    if (!verified) {
        throw new GeneralSecurityException(""cannot verify signature"");
    }
}", ,"// No exception means the signature is valid.
[[SEP]]// ignored, try again
","// No exception means the signature is valid.[[SEP]]// ignored, try again",437,463,[0],0,"[0, 0]",0,"[0, 0]",0,0,0,0,"verify(String, List<SenderVerifyingKeysProvider>, List<byte[]>, byte[])",com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,"verify/4[java.lang.String,java.util.List<com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient.SenderVerifyingKeysProvider>,java.util.List<byte[]>,byte[]]",False,442,3,6,3,3,6,2,19,0,2,4,2,0,0,3,0,1,0,1,0,3,0,4,0,0,0,30,10,0,False
8,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,String decrypt(String),"private String decrypt(String ciphertext) throws GeneralSecurityException {
    for (HybridDecrypt hybridDecrypter : hybridDecrypters) {
        try {
            byte[] cleartext = hybridDecrypter.decrypt(ciphertext.getBytes(UTF_8), PaymentMethodTokenConstants.GOOGLE_CONTEXT_INFO_ECV1);
            return new String(cleartext, UTF_8);
        } catch (GeneralSecurityException e) {
            // ignored, try again
        }
    }
    throw new GeneralSecurityException(""cannot decrypt"");
}", ,"// ignored, try again
","// ignored, try again",465,477,[0],0,[0],0,[0],0,0,0,0,decrypt(String),com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,decrypt/1[java.lang.String],False,465,2,3,2,1,3,2,11,1,1,1,2,0,0,1,0,1,0,1,0,1,0,2,0,0,0,16,2,0,False
9,..\projects\tink-1.7.0\apps\paymentmethodtoken\src\main\java\com\google\crypto\tink\apps\paymentmethodtoken\PaymentMethodTokenRecipient.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,List<SenderVerifyingKeysProvider> verifyIntermediateSigningKey(JsonObject),"/**
 * Verifies the intermediate key and returns a singleton list containing of {@code
 * SenderVerifyingKeysProvider} that provides the verified key.
 */
private List<SenderVerifyingKeysProvider> verifyIntermediateSigningKey(JsonObject jsonMsg) throws GeneralSecurityException {
    JsonObject intermediateSigningKey = jsonMsg.get(PaymentMethodTokenConstants.JSON_INTERMEDIATE_SIGNING_KEY).getAsJsonObject();
    validateIntermediateSigningKey(intermediateSigningKey);
    ArrayList<byte[]> signatures = new ArrayList<>();
    JsonArray signaturesJson = intermediateSigningKey.get(PaymentMethodTokenConstants.JSON_SIGNATURES_KEY).getAsJsonArray();
    for (int i = 0; i < signaturesJson.size(); i++) {
        signatures.add(Base64.decode(signaturesJson.get(i).getAsString()));
    }
    String signedKeyAsString = intermediateSigningKey.get(PaymentMethodTokenConstants.JSON_SIGNED_KEY_KEY).getAsString();
    byte[] signedBytes = PaymentMethodTokenUtil.toLengthValue(// The order of the parameters matters.
    senderId, protocolVersion, signedKeyAsString);
    verify(protocolVersion, senderVerifyingKeysProviders, signatures, signedBytes);
    JsonObject signedKey = JsonParser.parseString(signedKeyAsString).getAsJsonObject();
    validateSignedKey(signedKey);
    final String key = signedKey.get(PaymentMethodTokenConstants.JSON_KEY_VALUE_KEY).getAsString();
    SenderVerifyingKeysProvider provider = new SenderVerifyingKeysProvider() {

        @Override
        public List<ECPublicKey> get(String protocolVersion) throws GeneralSecurityException {
            if (PaymentMethodTokenRecipient.this.protocolVersion.equals(protocolVersion)) {
                return Collections.singletonList(PaymentMethodTokenUtil.x509EcPublicKey(key));
            } else {
                return Collections.emptyList();
            }
        }
    };
    return Collections.singletonList(provider);
}","/**
 * Verifies the intermediate key and returns a singleton list containing of {@code
 * SenderVerifyingKeysProvider} that provides the verified key.
 */
","// The order of the parameters matters.
",/** * Verifies the intermediate key and returns a singleton list containing of {@code * SenderVerifyingKeysProvider} that provides the verified key. */[[SEP]]// The order of the parameters matters.,516,551,[0],0,[0],0,"[0, 0]",0,0,0,0,verifyIntermediateSigningKey(JsonObject),com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenRecipient,verifyIntermediateSigningKey/1[com.google.crypto.tink.apps.paymentmethodtoken.JsonObject],False,517,7,7,1,6,2,13,27,1,9,1,13,3,1,1,0,0,0,0,1,9,0,1,1,0,0,42,2,0,True
