Model,Accuracy_Mean,Accuracy_Std,F1-Score_Mean,F1-Score_Std
AdaBoostClassifier,0.9736999999999998,0.0025841396591085573,0.9711000000000001,0.0026853512081497014
BaggingClassifier,0.9756999999999998,0.002110818693198336,0.9741,0.002282785822435198
BernoulliNB,0.9146000000000001,0.006736302975503509,0.9246000000000001,0.005460972644339332
CalibratedClassifierCV,0.9736,0.0024585451886114393,0.9709,0.0028067379246694713
CategoricalNB,0.9191250000000001,0.005540435774506214,0.9273750000000001,0.004172614801981449
DecisionTreeClassifier,0.9693999999999999,0.002221110833194376,0.9687000000000001,0.0024517567397911214
DummyClassifier,0.9277000000000001,0.005396500923952686,0.8930000000000001,0.0077172246018601485
ExtraTreeClassifier,0.9642,0.0024855135843076417,0.9631999999999998,0.0028596814119369782
ExtraTreesClassifier,0.9771000000000001,0.0017919573407620922,0.9754999999999999,0.002068278940998471
GaussianNB,0.4896,0.004599516882842762,0.5932,0.0047328638264796715
LGBMClassifier,0.9756,0.0018378731669453606,0.9734999999999999,0.002223610677354381
LinearDiscriminantAnalysis,0.9718000000000002,0.0024855135843076218,0.9689,0.002923088169119183
LinearSVC,0.9732,0.0024404006956964095,0.9703999999999999,0.003098386676965953
LogisticRegression,0.9729999999999999,0.0024494897427831744,0.9703999999999999,0.0030623157540948767
NearestCentroid,0.9313,0.004372896319628725,0.9379999999999997,0.0037118429085533306
PassiveAggressiveClassifier,0.9494999999999999,0.007648529270389169,0.9503999999999999,0.0060589694760009435
Perceptron,0.9536999999999999,0.013711714375347444,0.954,0.011155467020454293
RandomForestClassifier,0.9774,0.0018378731669453582,0.9757999999999999,0.002149935399546277
RidgeClassifier,0.9679,0.0031780497164141386,0.9635,0.003894440481849306
RidgeClassifierCV,0.9679,0.0031780497164141386,0.9635,0.003894440481849306
SGDClassifier,0.9734,0.002716206504995112,0.9707000000000001,0.003020301677353151
XGBClassifier,0.975,0.002260776661041767,0.9731000000000002,0.0024244128727957614
