Model,Accuracy_Mean,Accuracy_Std,F1-Score_Mean,F1-Score_Std
AdaBoostClassifier,0.9495999999999999,0.0015055453054181648,0.9288000000000001,0.0022997584414213884
BaggingClassifier,0.9573,0.0017029386365926319,0.9475999999999999,0.0020655911179772745
BernoulliNB,0.8923,0.002359378449224861,0.9027,0.0022135943621178515
CalibratedClassifierCV,0.9478,0.0017511900715418327,0.9289000000000003,0.002558211180579987
CategoricalNB,0.9043000000000001,0.002263232692902363,0.9106,0.0017763883459299041
DecisionTreeClassifier,0.9402000000000001,0.0022997584414213563,0.938,0.0021081851067788976
DummyClassifier,0.9473999999999998,0.001712697677155337,0.9221,0.0025582111805800057
ExtraTreeClassifier,0.9395,0.0015092308563562384,0.9369,0.0015238839267549481
ExtraTreesClassifier,0.9598000000000001,0.001751190071541826,0.9498999999999999,0.002024845673131661
GaussianNB,0.6281999999999999,0.004417138339594021,0.7296,0.0032386554137309757
LGBMClassifier,0.954,0.0016996731711976,0.9389999999999998,0.002357022603955111
LinearDiscriminantAnalysis,0.9378,0.0016865480854230941,0.9277,0.001702938636592647
LinearSVC,0.9496999999999998,0.0017669811040931075,0.9278000000000001,0.0023475755815545517
LogisticRegression,0.9482999999999999,0.0014944341180973216,0.9289000000000002,0.0022335820757001306
NearestCentroid,0.7822000000000001,0.00329309040939426,0.8394,0.0027162065049950966
PassiveAggressiveClassifier,0.9056,0.05405799355013712,0.9057000000000001,0.03049243986447937
Perceptron,0.9181000000000001,0.010503438590396123,0.9136000000000001,0.005316640543300509
RandomForestClassifier,0.9588999999999999,0.0015238839267549646,0.9486999999999999,0.002002775851439978
RidgeClassifier,0.9496999999999998,0.0017669811040931075,0.9278000000000001,0.0023475755815545517
RidgeClassifierCV,0.9496999999999998,0.0017669811040931075,0.9278000000000001,0.0023475755815545517
SGDClassifier,0.9473999999999998,0.001712697677155337,0.9221,0.0025582111805800057
XGBClassifier,0.9541999999999999,0.0019888578520234996,0.9414,0.0024585451886114315
