Fold,Model,Accuracy,F1-Score
1,RandomForestClassifier,0.91,0.91
1,XGBClassifier,0.906,0.906
1,LGBMClassifier,0.903,0.902
1,ExtraTreesClassifier,0.902,0.902
1,LogisticRegression,0.898,0.898
1,BaggingClassifier,0.898,0.898
1,LinearSVC,0.895,0.895
1,CalibratedClassifierCV,0.895,0.895
1,DecisionTreeClassifier,0.888,0.888
1,SVC,0.886,0.886
1,AdaBoostClassifier,0.885,0.884
1,NuSVC,0.871,0.871
1,SGDClassifier,0.871,0.871
1,LinearDiscriminantAnalysis,0.868,0.867
1,RidgeClassifierCV,0.868,0.867
1,RidgeClassifier,0.868,0.867
1,BernoulliNB,0.863,0.863
1,GaussianNB,0.85,0.85
1,Perceptron,0.847,0.847
1,PassiveAggressiveClassifier,0.838,0.838
1,ExtraTreeClassifier,0.81,0.81
1,NearestCentroid,0.804,0.804
1,KNeighborsClassifier,0.753,0.753
1,LabelSpreading,0.716,0.699
1,LabelPropagation,0.716,0.698
1,DummyClassifier,0.498,0.331
2,ExtraTreesClassifier,0.903,0.902
2,RandomForestClassifier,0.899,0.899
2,LGBMClassifier,0.897,0.897
2,BaggingClassifier,0.896,0.896
2,XGBClassifier,0.893,0.892
2,SVC,0.893,0.892
2,LogisticRegression,0.89,0.889
2,LinearSVC,0.889,0.889
2,CalibratedClassifierCV,0.888,0.888
2,DecisionTreeClassifier,0.88,0.88
2,AdaBoostClassifier,0.88,0.878
2,NuSVC,0.872,0.871
2,SGDClassifier,0.871,0.87
2,BernoulliNB,0.851,0.851
2,GaussianNB,0.853,0.852
2,LinearDiscriminantAnalysis,0.848,0.847
2,RidgeClassifier,0.848,0.847
2,RidgeClassifierCV,0.848,0.847
2,Perceptron,0.843,0.843
2,PassiveAggressiveClassifier,0.837,0.837
2,ExtraTreeClassifier,0.821,0.821
2,NearestCentroid,0.792,0.792
2,CategoricalNB,0.785,0.785
2,KNeighborsClassifier,0.756,0.756
2,LabelSpreading,0.725,0.71
2,LabelPropagation,0.725,0.71
2,DummyClassifier,0.479,0.311
3,RandomForestClassifier,0.905,0.905
3,LGBMClassifier,0.903,0.903
3,ExtraTreesClassifier,0.899,0.899
3,XGBClassifier,0.893,0.893
3,BaggingClassifier,0.89,0.89
3,SVC,0.883,0.883
3,LogisticRegression,0.873,0.873
3,CalibratedClassifierCV,0.871,0.871
3,LinearSVC,0.869,0.869
3,NuSVC,0.868,0.868
3,AdaBoostClassifier,0.866,0.865
3,SGDClassifier,0.864,0.864
3,DecisionTreeClassifier,0.863,0.863
3,LinearDiscriminantAnalysis,0.858,0.858
3,RidgeClassifier,0.858,0.858
3,RidgeClassifierCV,0.858,0.858
3,BernoulliNB,0.852,0.852
3,PassiveAggressiveClassifier,0.848,0.848
3,GaussianNB,0.834,0.834
3,ExtraTreeClassifier,0.829,0.829
3,Perceptron,0.815,0.815
3,CategoricalNB,0.812,0.812
3,NearestCentroid,0.798,0.798
3,KNeighborsClassifier,0.76,0.76
3,LabelSpreading,0.684,0.664
3,LabelPropagation,0.684,0.664
3,DummyClassifier,0.482,0.313
4,ExtraTreesClassifier,0.905,0.905
