Model,Accuracy_Mean,Accuracy_Std,F1-Score_Mean,F1-Score_Std
AdaBoostClassifier,0.6884,0.018105861543219085,0.5923,0.030590666695724203
BaggingClassifier,0.747,0.02061822279225617,0.7274999999999999,0.020860648759486535
BernoulliNB,0.5845,0.02648374763678449,0.5725,0.024676799720475175
CalibratedClassifierCV,0.7173,0.01785777141750897,0.6503,0.025785654926722332
DecisionTreeClassifier,0.6959,0.03197724885671756,0.6938000000000001,0.030589758634767497
DummyClassifier,0.6638,0.0015491933384829566,0.5297000000000001,0.0017029386365926464
ExtraTreeClassifier,0.6786,0.020758933819763774,0.6792,0.02049823840669675
ExtraTreesClassifier,0.7737,0.01501887701083763,0.7468,0.018707099068416676
GaussianNB,0.1554,0.018733214708995714,0.2238,0.020654835323047776
KNeighborsClassifier,0.6854,0.023434068267280315,0.6544000000000001,0.027653410478838094
LGBMClassifier,0.7591,0.025330920937770045,0.7372,0.02698065150354152
LabelPropagation,0.48739999999999994,0.037774771122183304,0.5386,0.038018124332715
LabelSpreading,0.48630000000000007,0.03643273863497563,0.5375,0.03665833238614834
LinearDiscriminantAnalysis,0.6947,0.01429879559807588,0.6647000000000001,0.017826634255767092
LinearSVC,0.7171,0.017071418609281814,0.6698999999999999,0.019399026321499296
LogisticRegression,0.7148,0.01754866250047438,0.6769000000000001,0.020620647688933312
NearestCentroid,0.48310000000000003,0.022805701041625537,0.5378000000000001,0.02276839915321232
PassiveAggressiveClassifier,0.6138,0.042446829485054995,0.6042,0.03722543933029309
Perceptron,0.633,0.017448336437736554,0.6244,0.01641950060141904
RandomForestClassifier,0.7703,0.012987600924642635,0.7417,0.01714675220300076
RidgeClassifier,0.7152999999999999,0.016275748830699013,0.6616000000000001,0.01943193248238578
RidgeClassifierCV,0.7154999999999999,0.01605026825667133,0.6618,0.019343675394758293
SGDClassifier,0.6666000000000001,0.014361986863476324,0.642,0.011690451944500128
SVC,0.7375,0.01573566366922957,0.6861,0.019513243366151754
