Model,Accuracy_Mean,Accuracy_Std,F1-Score_Mean,F1-Score_Std
AdaBoostClassifier,0.5021,0.04150354737181444,0.3789,0.04772478973820162
BaggingClassifier,0.5341,0.07955773584845997,0.4955,0.08086648804596926
BernoulliNB,0.5616,0.0724219119696058,0.5265000000000001,0.0778820333010837
CalibratedClassifierCV,0.5363,0.05059216013046552,0.4697,0.05302420830777832
DecisionTreeClassifier,0.4805,0.09551643255947583,0.47300000000000003,0.09442810316143531
DummyClassifier,0.4425,0.00764852927038919,0.27140000000000003,0.007890923055426822
ExtraTreeClassifier,0.4845,0.08348020390753988,0.47939999999999994,0.08268440669867028
ExtraTreesClassifier,0.5466,0.07713220972964391,0.5139,0.07338551173994316
GaussianNB,0.314,0.07013479085937939,0.3063,0.0815080773093481
KNeighborsClassifier,0.5105000000000001,0.05822227523322438,0.453,0.06511016305718587
LGBMClassifier,0.42489999999999994,0.07646996505527877,0.3933,0.07380763284828115
LabelPropagation,0.4807,0.05539364183329667,0.39649999999999996,0.06745574681061489
LabelSpreading,0.4807,0.05539364183329667,0.39649999999999996,0.06745574681061489
LinearDiscriminantAnalysis,0.5191,0.07021308836518855,0.5149,0.07417913752831348
LinearSVC,0.5214,0.08877462099797062,0.5168,0.08554634871096356
LogisticRegression,0.5211,0.09072479754118434,0.5138999999999999,0.09500578929728438
NearestCentroid,0.4807,0.06296392265063824,0.5074,0.062350621488482375
PassiveAggressiveClassifier,0.4869,0.07710951807512337,0.49240000000000006,0.08182393021332791
Perceptron,0.4873,0.09130662626556739,0.4909,0.08986959688595716
RandomForestClassifier,0.5488999999999999,0.04201970437253881,0.5006,0.0385232974243437
RidgeClassifier,0.536,0.08371512540886636,0.5187999999999999,0.08370556864523544
RidgeClassifierCV,0.5447,0.0737368444010335,0.5283,0.07117435555654078
SGDClassifier,0.49779999999999996,0.06285043975803017,0.49560000000000004,0.06334596365287304
SVC,0.5427000000000001,0.05575352505048944,0.485,0.061064628786957266
