Patterns,SATD THEMES,Class
TODO,Open task,Other
FIXME,Something to be fixed,Defect debt
XXX,Open task,Other
HACK,Open task,Other
REMIND,Open task,Other
REVIEW,Open task,Other
REVISIT,Open task,Other
NOTE,Open task,Other
REMARK,Open task,Other
CHECKME,Open task,Other
Todo: ?,"Making Question, Open task",Other
Todo: Check,Open task,Other
TODO: Test,Tests to do,Test debt
TODO: Here too?,"Inadequate location, Making Question","Design debt, Other"
TODO: Why,Making Question,Other
Todo: What?,Misunderstanding,Documentation debt
Todo: how to,"Making Question, Open task",Other
TODO: ?delete,Making Question,Other
TODO: Issue,"Open task, Reporting Issues or problems",Other
Todo: Make,Open task,Other
Todo: maybe,"Open task, Uncertainty about any artifact",Other
Todo: The recurrence,Open task,Other
Todo: link to,Open task,Other
TODO: Reuse,Open task,Other
Todo: temporary,"Open task, Temporary solution or workarounds","Other, Code debt, Design debt"
Todo: Replace,Open task,Other
Todo: Should difine,Open task,Other
Todo: not implemented,"Need to implement or it wasn't well implemented, Open task","Requirement debt, Other"
Todo: split,Open task,Other
Todo: move,Open task,Other
Todo: verify,Open task,Other
Todo: ??,Making Question,Other
Todo: review,Open task,Other
Todo: Redo,Open task,Other
TODO: improve,To do better (improvements),Code debt
TODO not correct,"Not according, Open task","Requirement debt, Other"
problem here,Reporting Issues or problems,Other
Bad code,"Bad coding practices, Violation of principles of good design, Difficult to be maintained in the future","Code debt, Design debt"
Is there no better way?,"Making Question, To do better (improvements)","Other, Code debt"
TODO: Is this needed?,Making Question,Other
Todo: Does this help?,Making Question,Other
Would it not better be,"Inadequate solution, To do better (improvements)","Code debt, Design debt"
Find a better way to do this,"Inadequate solution, To do better (improvements)","Code debt, Design debt"
not possible to do better,"Inadequate solution, To do better (improvements)","Code debt, Design debt"
Todo: Is this a good way?,"Inadequate solution, Making Question, Open task, To do better (improvements)","Code debt, Design debt, Other"
probably better ways to implement this,"Inadequate solution, To do better (improvements)","Code debt, Design debt"
is not the correct way,"Inadequate solution, To do better (improvements)","Code debt, Design debt"
